a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-5710,SR1,SR1F25,M15,2024-09-30 09:00:00,1727686800,95.88,95.88,95.88,95.88,1,0,36,2024-09-29/2024-10-05,111014
2,-5709,SR1,SR1F25,M15,2024-09-30 09:15:00,1727687700,95.875,95.875,95.875,95.875,1,0,103,2024-09-29/2024-10-05,111014
3,-5708,SR1,SR1F25,M15,2024-09-30 09:30:00,1727688600,95.87,95.87,95.87,95.87,7,0,229,2024-09-29/2024-10-05,111014
4,-5707,SR1,SR1F25,M15,2024-09-30 09:45:00,1727689500,95.875,95.875,95.875,95.875,1,0,100,2024-09-29/2024-10-05,111014
5,-5706,SR1,SR1F25,M15,2024-09-30 10:00:00,1727690400,95.87,95.87,95.865,95.865,10,0,307,2024-09-29/2024-10-05,111014
6,-5705,SR1,SR1F25,M15,2024-09-30 10:15:00,1727691300,95.865,95.865,95.865,95.865,2,0,117,2024-09-29/2024-10-05,111014
7,-5704,SR1,SR1F25,M15,2024-09-30 10:30:00,1727692200,95.86,95.865,95.86,95.865,3,0,105,2024-09-29/2024-10-05,111014
8,-5703,SR1,SR1F25,M15,2024-09-30 10:45:00,1727693100,95.87,95.875,95.87,95.875,2,0,301,2024-09-29/2024-10-05,111014
9,-5702,SR1,SR1F25,M15,2024-09-30 11:00:00,1727694000,95.875,95.88,95.875,95.88,2,0,169,2024-09-29/2024-10-05,111014
10,-5701,SR1,SR1F25,M15,2024-09-30 11:15:00,1727694900,95.88,95.885,95.88,95.885,6,0,379,2024-09-29/2024-10-05,111014
11,-5700,SR1,SR1F25,M15,2024-09-30 11:30:00,1727695800,95.885,95.885,95.88,95.88,6,0,128,2024-09-29/2024-10-05,111014
12,-5699,SR1,SR1F25,M15,2024-09-30 11:45:00,1727696700,95.885,95.885,95.885,95.885,5,0,661,2024-09-29/2024-10-05,111014
13,-5698,SR1,SR1F25,M15,2024-09-30 12:00:00,1727697600,95.885,95.885,95.88,95.88,10,0,200,2024-09-29/2024-10-05,111014
14,-5697,SR1,SR1F25,M15,2024-09-30 12:15:00,1727698500,95.88,95.88,95.875,95.875,9,0,539,2024-09-29/2024-10-05,111014
15,-5696,SR1,SR1F25,M15,2024-09-30 12:30:00,1727699400,95.875,95.88,95.87,95.88,9,0,466,2024-09-29/2024-10-05,111014
16,-5695,SR1,SR1F25,M15,2024-09-30 12:45:00,1727700300,95.875,95.875,95.87,95.875,7,0,435,2024-09-29/2024-10-05,111014
17,-5694,SR1,SR1F25,M15,2024-09-30 13:00:00,1727701200,95.87,95.88,95.87,95.875,11,0,627,2024-09-29/2024-10-05,111014
18,-5693,SR1,SR1F25,M15,2024-09-30 13:15:00,1727702100,95.875,95.88,95.875,95.875,3,0,154,2024-09-29/2024-10-05,111014
19,-5692,SR1,SR1F25,M15,2024-09-30 13:30:00,1727703000,95.88,95.88,95.875,95.875,10,0,357,2024-09-29/2024-10-05,111014
20,-5691,SR1,SR1F25,M15,2024-09-30 13:45:00,1727703900,95.875,95.885,95.875,95.875,16,0,385,2024-09-29/2024-10-05,111014
21,-5690,SR1,SR1F25,M15,2024-09-30 14:00:00,1727704800,95.875,95.88,95.875,95.88,3,0,62,2024-09-29/2024-10-05,111014
22,-5689,SR1,SR1F25,M15,2024-09-30 14:15:00,1727705700,95.88,95.88,95.875,95.875,5,0,267,2024-09-29/2024-10-05,111014
23,-5688,SR1,SR1F25,M15,2024-09-30 14:30:00,1727706600,95.875,95.88,95.875,95.875,11,0,98,2024-09-29/2024-10-05,111014
24,-5687,SR1,SR1F25,M15,2024-09-30 14:45:00,1727707500,95.875,95.875,95.87,95.87,6,0,850,2024-09-29/2024-10-05,111014
25,-5686,SR1,SR1F25,M15,2024-09-30 15:00:00,1727708400,95.87,95.875,95.87,95.875,9,0,813,2024-09-29/2024-10-05,111014
26,-5685,SR1,SR1F25,M15,2024-09-30 15:15:00,1727709300,95.875,95.875,95.87,95.87,11,0,1153,2024-09-29/2024-10-05,111014
27,-5684,SR1,SR1F25,M15,2024-09-30 15:30:00,1727710200,95.87,95.875,95.86,95.865,16,0,622,2024-09-29/2024-10-05,111014
28,-5683,SR1,SR1F25,M15,2024-09-30 15:45:00,1727711100,95.865,95.865,95.865,95.865,5,0,496,2024-09-29/2024-10-05,111014
29,-5682,SR1,SR1F25,M15,2024-09-30 16:00:00,1727712000,95.865,95.865,95.865,95.865,8,0,260,2024-09-29/2024-10-05,111014
30,-5681,SR1,SR1F25,M15,2024-09-30 16:15:00,1727712900,95.865,95.875,95.865,95.87,36,0,593,2024-09-29/2024-10-05,111014
