a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-947,SR3,SR3Z24,H3,2024-09-30 09:00:00,1727686800,96.005,96.015,95.985,96.015,1727,0,59302,2024-09-29/2024-10-05,2464705
2,-946,SR3,SR3Z24,H3,2024-09-30 12:00:00,1727697600,96.01,96.015,95.995,96.0,4208,0,92041,2024-09-29/2024-10-05,2464705
3,-945,SR3,SR3Z24,H3,2024-09-30 15:00:00,1727708400,96.0,96.02,95.985,96.0,4795,0,121475,2024-09-29/2024-10-05,2464705
4,-944,SR3,SR3Z24,H3,2024-09-30 18:00:00,1727719200,96.0,96.005,95.94,95.955,7766,0,211339,2024-09-29/2024-10-05,2464705
5,-943,SR3,SR3Z24,H3,2024-09-30 21:00:00,1727730000,95.955,95.96,95.955,95.96,72,0,1511,2024-09-29/2024-10-05,2464705
6,-942,SR3,SR3Z24,H3,2024-10-01 00:00:00,1727740800,95.96,95.975,95.96,95.97,139,0,12009,2024-09-29/2024-10-05,2464705
7,-941,SR3,SR3Z24,H3,2024-10-01 03:00:00,1727751600,95.965,95.965,95.96,95.96,78,0,2023,2024-09-29/2024-10-05,2464705
8,-940,SR3,SR3Z24,H3,2024-10-01 06:00:00,1727762400,95.965,95.975,95.96,95.975,578,0,27156,2024-09-29/2024-10-05,2464705
9,-939,SR3,SR3Z24,H3,2024-10-01 09:00:00,1727773200,95.975,95.985,95.97,95.98,1185,0,30328,2024-09-29/2024-10-05,2464705
10,-938,SR3,SR3Z24,H3,2024-10-01 12:00:00,1727784000,95.975,96.005,95.955,95.99,7460,0,193241,2024-09-29/2024-10-05,2464705
11,-937,SR3,SR3Z24,H3,2024-10-01 15:00:00,1727794800,95.99,95.995,95.965,95.975,3109,0,108346,2024-09-29/2024-10-05,2464705
12,-936,SR3,SR3Z24,H3,2024-10-01 18:00:00,1727805600,95.975,95.98,95.965,95.975,3439,0,30396,2024-09-29/2024-10-05,2464705
