a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-2042,TUA,TUAZ6,H1,2016-08-02 09:00:00,1470128400,109.3906,109.3906,109.3906,109.3906,1,0,1,2016-07-31/2016-08-06,64
2,-2041,TUA,TUAZ6,H1,2016-08-02 12:00:00,1470139200,109.3516,109.3516,109.3516,109.3516,1,0,1,2016-07-31/2016-08-06,64
3,-2040,TUA,TUAZ6,H1,2016-08-02 14:00:00,1470146400,109.3984,109.3984,109.3984,109.3984,1,0,1,2016-07-31/2016-08-06,64
4,-2039,TUA,TUAZ6,H1,2016-08-02 16:00:00,1470153600,109.4062,109.4062,109.4062,109.4062,1,0,1,2016-07-31/2016-08-06,64
5,-2038,TUA,TUAZ6,H1,2016-08-02 17:00:00,1470157200,109.4218,109.4296,109.4218,109.4296,2,0,2,2016-07-31/2016-08-06,64
6,-2037,TUA,TUAZ6,H1,2016-08-02 22:00:00,1470175200,109.3906,109.3906,109.3906,109.3906,1,0,1,2016-07-31/2016-08-06,64
7,-2036,TUA,TUAZ6,H1,2016-08-04 11:00:00,1470308400,109.4375,109.4375,109.4375,109.4375,1,0,2,2016-07-31/2016-08-06,64
8,-2035,TUA,TUAZ6,H1,2016-08-04 15:00:00,1470322800,109.4843,109.4843,109.4843,109.4843,1,0,1,2016-07-31/2016-08-06,64
9,-2034,TUA,TUAZ6,H1,2016-08-04 18:00:00,1470333600,109.4765,109.4765,109.4765,109.4765,1,0,2,2016-07-31/2016-08-06,64
10,-2033,TUA,TUAZ6,H1,2016-08-05 11:00:00,1470394800,109.4688,109.4688,109.4688,109.4688,1,0,40,2016-07-31/2016-08-06,64
11,-2032,TUA,TUAZ6,H1,2016-08-05 12:00:00,1470398400,109.4688,109.4766,109.4688,109.4688,157,0,2,2016-07-31/2016-08-06,64
12,-2031,TUA,TUAZ6,H1,2016-08-05 15:00:00,1470409200,109.2816,109.2816,109.2816,109.2816,1,0,2,2016-07-31/2016-08-06,64
13,-2030,TUA,TUAZ6,H1,2016-08-05 16:00:00,1470412800,109.2972,109.2972,109.2972,109.2972,1,0,8,2016-07-31/2016-08-06,64
14,-2029,TUA,TUAZ6,H1,2016-08-08 04:00:00,1470628800,109.2969,109.2969,109.2969,109.2969,1,0,1,2016-08-07/2016-08-13,4314
15,-2028,TUA,TUAZ6,H1,2016-08-08 07:00:00,1470639600,109.2969,109.2969,109.2969,109.2969,1,0,1,2016-08-07/2016-08-13,4314
16,-2027,TUA,TUAZ6,H1,2016-08-08 11:00:00,1470654000,109.2657,109.2657,109.2657,109.2657,1,0,1,2016-08-07/2016-08-13,4314
17,-2026,TUA,TUAZ6,H1,2016-08-08 19:00:00,1470682800,109.2735,109.2735,109.2735,109.2735,1,0,1,2016-08-07/2016-08-13,4314
18,-2025,TUA,TUAZ6,H1,2016-08-09 14:00:00,1470751200,109.2813,109.2813,109.2813,109.2813,1,0,1,2016-08-07/2016-08-13,4314
19,-2024,TUA,TUAZ6,H1,2016-08-09 15:00:00,1470754800,109.2735,109.2735,109.2735,109.2735,1,0,1,2016-08-07/2016-08-13,4314
20,-2023,TUA,TUAZ6,H1,2016-08-09 16:00:00,1470758400,109.2813,109.2813,109.2813,109.2813,1,0,1,2016-08-07/2016-08-13,4314
21,-2022,TUA,TUAZ6,H1,2016-08-09 17:00:00,1470762000,109.2969,109.2969,109.2969,109.2969,1,0,15,2016-08-07/2016-08-13,4314
1,-2290,TUA,TUAH7,H1,2016-08-09 18:00:00,1470765600,109.3047,109.3047,109.3047,109.3047,1,0,2555904,2016-08-07/2016-08-13,2555904
