symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WDO$D,H1,2021-02-17 13:00:00,1613566800,7106.0,7112.5,7069.0,7085.5,172815,1,545138
WDO$D,H1,2021-02-17 14:00:00,1613570400,7086.0,7101.0,7077.5,7086.5,118180,1,345577
WDO$D,H1,2021-02-17 15:00:00,1613574000,7086.5,7105.0,7085.5,7093.5,97174,1,322981
WDO$D,H1,2021-02-17 16:00:00,1613577600,7093.5,7101.0,7087.0,7094.5,61864,1,204747
WDO$D,H1,2021-02-17 17:00:00,1613581200,7094.0,7104.0,7089.0,7091.0,41702,1,135927
WDO$D,H1,2021-02-17 18:00:00,1613584800,7091.0,7096.5,7088.0,7091.0,11174,1,43560
WDO$D,H1,2021-02-18 09:00:00,1613638800,7069.5,7086.5,7065.5,7079.5,190470,1,594993
WDO$D,H1,2021-02-18 10:00:00,1613642400,7079.5,7109.5,7072.0,7101.5,173819,1,550393
WDO$D,H1,2021-02-18 11:00:00,1613646000,7101.5,7112.0,7096.0,7098.5,138948,1,497606
WDO$D,H1,2021-02-18 12:00:00,1613649600,7098.5,7129.5,7094.0,7127.0,135384,1,516963
WDO$D,H1,2021-02-18 13:00:00,1613653200,7127.0,7131.0,7115.5,7118.5,62787,1,230763
WDO$D,H1,2021-02-18 14:00:00,1613656800,7118.5,7126.0,7117.0,7123.5,46234,1,170917
WDO$D,H1,2021-02-18 15:00:00,1613660400,7124.0,7132.5,7109.5,7111.5,76331,1,277086
WDO$D,H1,2021-02-18 16:00:00,1613664000,7112.0,7123.5,7109.0,7119.5,44615,1,172248
WDO$D,H1,2021-02-18 17:00:00,1613667600,7119.5,7123.0,7106.0,7110.5,38693,1,139957
WDO$D,H1,2021-02-18 18:00:00,1613671200,7110.0,7116.0,7104.0,7108.5,9883,1,43742
WDO$D,H1,2021-02-19 09:00:00,1613725200,7139.5,7149.0,7085.0,7090.0,223490,1,703520
WDO$D,H1,2021-02-19 10:00:00,1613728800,7089.5,7107.0,7071.0,7073.0,167041,1,553979
WDO$D,H1,2021-02-19 11:00:00,1613732400,7072.5,7089.5,7053.0,7055.0,152808,1,550124
WDO$D,H1,2021-02-19 12:00:00,1613736000,7054.5,7061.0,7047.5,7057.0,102662,1,395912
WDO$D,H1,2021-02-19 13:00:00,1613739600,7057.0,7076.0,7047.0,7074.5,84013,1,318815
WDO$D,H1,2021-02-19 14:00:00,1613743200,7074.5,7095.5,7066.0,7077.0,104479,1,375113
WDO$D,H1,2021-02-19 15:00:00,1613746800,7077.5,7099.5,7076.0,7087.0,79546,1,296508
WDO$D,H1,2021-02-19 16:00:00,1613750400,7087.0,7090.0,7062.0,7062.0,57436,1,222203
WDO$D,H1,2021-02-19 17:00:00,1613754000,7062.5,7071.0,7060.5,7066.5,37890,1,145018
WDO$D,H1,2021-02-19 18:00:00,1613757600,7067.0,7067.0,7059.0,7060.0,8090,1,35342
WDO$D,H1,2021-02-22 09:00:00,1613984400,7187.0,7211.5,7178.5,7189.0,211223,1,680988
WDO$D,H1,2021-02-22 10:00:00,1613988000,7189.5,7212.5,7179.0,7205.5,175267,1,555785
WDO$D,H1,2021-02-22 11:00:00,1613991600,7205.0,7212.0,7166.0,7168.5,154108,1,548706
WDO$D,H1,2021-02-22 12:00:00,1613995200,7168.5,7185.0,7153.0,7172.5,135229,1,470291
WDO$D,H1,2021-02-22 13:00:00,1613998800,7172.5,7179.0,7151.0,7156.5,76732,1,269575
WDO$D,H1,2021-02-22 14:00:00,1614002400,7157.0,7165.5,7125.5,7135.5,97632,1,336272
WDO$D,H1,2021-02-22 15:00:00,1614006000,7135.5,7139.0,7112.0,7120.5,79417,1,295944
WDO$D,H1,2021-02-22 16:00:00,1614009600,7120.5,7135.5,7110.0,7132.5,58865,1,211323
WDO$D,H1,2021-02-22 17:00:00,1614013200,7133.0,7148.5,7127.5,7138.0,56424,1,203925
WDO$D,H1,2021-02-22 18:00:00,1614016800,7138.5,7146.5,7130.0,7144.0,13953,1,58484
WDO$D,H1,2021-02-23 09:00:00,1614070800,7129.5,7142.0,7115.5,7124.0,191309,1,524556
WDO$D,H1,2021-02-23 10:00:00,1614074400,7124.0,7146.5,7112.0,7141.0,172437,1,490143
WDO$D,H1,2021-02-23 11:00:00,1614078000,7141.5,7161.5,7131.0,7150.5,169977,1,548414
WDO$D,H1,2021-02-23 12:00:00,1614081600,7151.0,7152.5,7095.0,7098.0,172085,1,607230
WDO$D,H1,2021-02-23 13:00:00,1614085200,7097.5,7111.5,7086.0,7106.0,100988,1,360291
WDO$D,H1,2021-02-23 14:00:00,1614088800,7106.5,7124.5,7105.5,7121.5,80177,1,288962
WDO$D,H1,2021-02-23 15:00:00,1614092400,7121.5,7123.5,7098.5,7122.0,88755,1,328793
WDO$D,H1,2021-02-23 16:00:00,1614096000,7122.0,7136.5,7117.0,7122.0,80286,1,311151
WDO$D,H1,2021-02-23 17:00:00,1614099600,7122.5,7122.5,7109.0,7118.5,45610,1,170148
WDO$D,H1,2021-02-23 18:00:00,1614103200,7118.5,7121.5,7110.0,7119.5,8643,1,42474
WDO$D,H1,2021-02-24 09:00:00,1614157200,7094.5,7102.0,7068.0,7077.5,184028,1,531419
WDO$D,H1,2021-02-24 10:00:00,1614160800,7077.5,7110.5,7073.0,7100.0,205456,1,670645
WDO$D,H1,2021-02-24 11:00:00,1614164400,7100.5,7121.0,7092.5,7109.0,172218,1,606826
WDO$D,H1,2021-02-24 12:00:00,1614168000,7109.5,7116.5,7088.5,7101.5,114559,1,404296
WDO$D,H1,2021-02-24 13:00:00,1614171600,7102.0,7111.5,7085.5,7103.0,87817,1,323898
WDO$D,H1,2021-02-24 14:00:00,1614175200,7103.0,7107.0,7092.0,7097.5,57213,1,211923
WDO$D,H1,2021-02-24 15:00:00,1614178800,7097.5,7109.0,7095.5,7101.5,54946,1,211908
WDO$D,H1,2021-02-24 16:00:00,1614182400,7101.5,7115.5,7097.0,7098.0,51237,1,192219
WDO$D,H1,2021-02-24 17:00:00,1614186000,7098.0,7104.0,7091.0,7092.5,33663,1,126819
WDO$D,H1,2021-02-24 18:00:00,1614189600,7092.5,7097.5,7077.0,7082.0,7792,1,33512
WDO$D,H1,2021-02-25 09:00:00,1614243600,7113.5,7120.5,7095.5,7120.0,163551,1,483187
WDO$D,H1,2021-02-25 10:00:00,1614247200,7119.5,7130.0,7100.0,7119.5,185376,1,578439
WDO$D,H1,2021-02-25 11:00:00,1614250800,7119.0,7137.0,7108.0,7132.5,157688,1,561714
WDO$D,H1,2021-02-25 12:00:00,1614254400,7133.0,7186.0,7131.0,7182.5,171090,1,663409
WDO$D,H1,2021-02-25 13:00:00,1614258000,7182.5,7190.5,7144.5,7169.0,145467,1,634846
WDO$D,H1,2021-02-25 14:00:00,1614261600,7169.5,7195.0,7163.5,7191.0,92268,1,370240
WDO$D,H1,2021-02-25 15:00:00,1614265200,7191.0,7215.5,7177.0,7190.0,157943,1,637653
WDO$D,H1,2021-02-25 16:00:00,1614268800,7189.5,7195.5,7176.0,7188.5,62541,1,241391
WDO$D,H1,2021-02-25 17:00:00,1614272400,7188.5,7209.5,7184.0,7199.0,51297,1,201782
WDO$D,H1,2021-02-25 18:00:00,1614276000,7199.0,7218.5,7195.0,7212.5,11432,1,56766
WDO$D,H1,2021-02-26 09:00:00,1614330000,7209.0,7220.0,7183.0,7195.0,185389,1,515851
