symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WDO$D,M30,2021-01-11 09:00:00,1610355600,7105.5,7151.5,7101.5,7138.0,107909,1,308618
WDO$D,M30,2021-01-11 09:30:00,1610357400,7138.0,7143.0,7126.5,7134.5,93722,1,251245
WDO$D,M30,2021-01-11 10:00:00,1610359200,7134.5,7155.5,7124.0,7155.0,110317,1,309938
WDO$D,M30,2021-01-11 10:30:00,1610361000,7154.5,7160.5,7140.0,7150.0,106228,1,302548
WDO$D,M30,2021-01-11 11:00:00,1610362800,7150.5,7165.0,7134.0,7153.5,96597,1,285464
WDO$D,M30,2021-01-11 11:30:00,1610364600,7153.5,7158.0,7133.0,7144.0,88418,1,260656
WDO$D,M30,2021-01-11 12:00:00,1610366400,7144.0,7163.5,7142.5,7149.0,53966,1,174098
WDO$D,M30,2021-01-11 12:30:00,1610368200,7149.0,7163.5,7148.0,7155.0,51244,1,159855
WDO$D,M30,2021-01-11 13:00:00,1610370000,7155.0,7168.5,7154.5,7161.5,54462,1,160635
WDO$D,M30,2021-01-11 13:30:00,1610371800,7161.5,7167.5,7133.0,7135.5,67216,1,237316
WDO$D,M30,2021-01-11 14:00:00,1610373600,7135.5,7142.5,7121.0,7138.0,64918,1,195332
WDO$D,M30,2021-01-11 14:30:00,1610375400,7138.0,7151.5,7132.0,7140.0,55725,1,170697
WDO$D,M30,2021-01-11 15:00:00,1610377200,7140.5,7144.5,7132.5,7142.0,30728,1,91638
WDO$D,M30,2021-01-11 15:30:00,1610379000,7142.0,7148.5,7123.5,7128.0,45686,1,141915
WDO$D,M30,2021-01-11 16:00:00,1610380800,7127.5,7146.0,7127.0,7143.0,34651,1,108848
WDO$D,M30,2021-01-11 16:30:00,1610382600,7143.5,7157.0,7142.5,7154.0,43521,1,135925
WDO$D,M30,2021-01-11 17:00:00,1610384400,7154.0,7159.0,7144.0,7156.5,30988,1,95110
WDO$D,M30,2021-01-11 17:30:00,1610386200,7156.5,7161.0,7144.5,7160.0,23630,1,78792
WDO$D,M30,2021-01-11 18:00:00,1610388000,7159.5,7163.5,7137.5,7137.5,17731,1,59622
WDO$D,M30,2021-01-12 09:00:00,1610442000,7123.5,7146.5,7115.5,7122.5,127921,1,324978
WDO$D,M30,2021-01-12 09:30:00,1610443800,7122.5,7141.5,7112.5,7115.0,122404,1,309266
WDO$D,M30,2021-01-12 10:00:00,1610445600,7115.5,7138.0,7111.0,7130.0,88656,1,239208
WDO$D,M30,2021-01-12 10:30:00,1610447400,7130.0,7143.0,7121.5,7123.5,78557,1,220052
WDO$D,M30,2021-01-12 11:00:00,1610449200,7123.5,7142.5,7120.5,7138.5,62884,1,198557
WDO$D,M30,2021-01-12 11:30:00,1610451000,7138.5,7145.0,7114.5,7119.5,66988,1,218936
WDO$D,M30,2021-01-12 12:00:00,1610452800,7119.0,7131.5,7093.0,7098.0,72053,1,234069
WDO$D,M30,2021-01-12 12:30:00,1610454600,7098.0,7107.5,7082.0,7090.5,89293,1,283858
WDO$D,M30,2021-01-12 13:00:00,1610456400,7090.5,7092.0,7074.0,7076.5,54373,1,188030
WDO$D,M30,2021-01-12 13:30:00,1610458200,7076.0,7079.0,7059.5,7064.5,71133,1,233249
WDO$D,M30,2021-01-12 14:00:00,1610460000,7065.0,7074.0,7054.5,7056.0,50840,1,155661
