symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WDO$D,W1,2021-02-14,1613260800,7106.0,7149.0,7047.0,7060.0,2437528,1,8389132
WDO$D,W1,2021-02-21,1613865600,7187.0,7300.0,7068.0,7282.5,5303199,1,18518216
WDO$D,W1,2021-02-28,1614470400,7265.5,7452.0,7222.5,7369.5,5694864,1,17926767
WDO$D,W1,2021-03-07,1615075200,7412.5,7555.0,7204.5,7229.0,5572110,1,17180582
WDO$D,W1,2021-03-14,1615680000,7232.5,7358.5,7124.0,7164.5,5448050,1,17019320
WDO$D,W1,2021-03-21,1616284800,7182.5,7431.5,7139.5,7429.5,5227371,1,16764477
WDO$D,W1,2021-03-28,1616889600,7439.5,7479.0,7279.5,7381.5,4055460,1,12307091
WDO$D,W1,2021-04-04,1617494400,7341.5,7360.0,7209.0,7360.0,5131930,1,15215034
WDO$D,W1,2021-04-11,1618099200,7347.0,7426.0,7234.0,7254.5,5497764,1,16966075
WDO$D,W1,2021-04-18,1618704000,7238.5,7289.0,7090.0,7140.5,4797214,1,14526732
WDO$D,W1,2021-04-25,1619308800,7121.0,7155.0,6988.5,7107.5,5395704,1,17133564
WDO$D,W1,2021-05-02,1619913600,7083.0,7151.5,6869.0,6904.5,5613321,1,17524194
WDO$D,W1,2021-05-09,1620518400,6903.5,6996.0,6861.5,6935.0,5765117,1,18015214
WDO$D,W1,2021-05-16,1621123200,6950.0,7030.5,6892.0,7022.5,4749083,1,15475928
WDO$D,W1,2021-05-23,1621728000,7020.0,7033.5,6865.0,6882.0,4112827,1,14037264
WDO$D,W1,2021-05-30,1622332800,6880.0,6914.0,6681.5,6697.0,3667357,1,12893498
WDO$D,W1,2021-06-06,1622937600,6689.0,6786.0,6667.0,6766.0,4740161,1,15806385
WDO$D,W1,2021-06-13,1623542400,6752.0,6758.0,6625.0,6732.5,5183523,1,18073266
WDO$D,W1,2021-06-20,1624147200,6715.5,6724.5,6532.5,6573.5,4986063,1,17397096
WDO$D,W1,2021-06-27,1624752000,6588.0,6712.0,6556.0,6698.0,4615922,1,15900025
WDO$D,W1,2021-07-04,1625356800,6693.5,6950.5,6686.0,6895.5,4504877,1,14443816
WDO$D,W1,2021-07-11,1625961600,6890.0,6920.0,6685.5,6746.5,5483257,1,18028800
WDO$D,W1,2021-07-18,1626566400,6788.5,6925.0,6782.5,6828.5,5449732,1,17925941
WDO$D,W1,2021-07-25,1627171200,6818.5,6857.0,6665.0,6836.5,4822875,1,16571179
WDO$D,W1,2021-08-01,1627776000,6812.5,6896.5,6731.0,6851.0,6036843,1,19248713
WDO$D,W1,2021-08-08,1628380800,6847.5,6917.5,6780.5,6864.5,5945080,1,18536065
WDO$D,W1,2021-08-15,1628985600,6888.5,7085.5,6842.5,6986.0,6127909,1,19444799
WDO$D,W1,2021-08-22,1629590400,6974.5,7011.0,6791.5,6808.5,5135116,1,16497116
WDO$D,W1,2021-08-29,1630195200,6802.5,6830.0,6717.0,6796.0,4874707,1,16170475
WDO$D,W1,2021-09-05,1630800000,6786.5,6930.5,6752.0,6847.0,4084366,1,13702482
WDO$D,W1,2021-09-12,1631404800,6832.0,6937.0,6791.5,6876.5,4716748,1,15931574
WDO$D,W1,2021-09-19,1632009600,6910.0,6966.5,6836.5,6922.0,4581436,1,14943191
WDO$D,W1,2021-09-26,1632614400,6905.0,7055.0,6890.5,6942.0,4817371,1,17507717
WDO$D,W1,2021-10-03,1633219200,6963.5,7113.0,6950.5,7084.5,4631646,1,15826540
WDO$D,W1,2021-10-10,1633824000,7072.0,7144.0,7002.0,7030.0,3468403,1,12479449
WDO$D,W1,2021-10-17,1634428800,7035.0,7317.0,7031.5,7212.5,5511058,1,19488933
WDO$D,W1,2021-10-24,1635033600,7216.0,7222.0,7094.5,7185.5,5075537,1,17386566
WDO$D,W1,2021-10-31,1635638400,7179.0,7248.5,7048.0,7086.0,3687516,1,12077165
WDO$D,W1,2021-11-07,1636243200,7102.0,7141.5,6926.5,6997.5,4741189,1,14964579
WDO$D,W1,2021-11-14,1636848000,6981.0,7145.0,6965.0,7144.5,3526306,1,11351502
WDO$D,W1,2021-11-21,1637452800,7132.0,7190.5,7073.0,7134.5,4306115,1,13623777
WDO$D,W1,2021-11-28,1638057600,7120.5,7218.0,7097.5,7170.5,4708287,1,15060950
WDO$D,W1,2021-12-05,1638662400,7161.0,7219.0,7030.0,7123.5,4365152,1,14312717
WDO$D,W1,2021-12-12,1639267200,7114.0,7240.5,7109.5,7194.0,4662684,1,14574418
WDO$D,W1,2021-12-19,1639872000,7209.5,7253.0,7120.5,7156.0,3076320,1,9711156
WDO$D,W1,2021-12-26,1640476800,7155.5,7197.0,7032.0,7056.5,2650439,1,8199424
WDO$D,W1,2022-01-02,1641081600,7055.0,7202.5,7040.5,7111.5,4314366,1,12808072
WDO$D,W1,2022-01-09,1641686400,7119.0,7165.5,6966.5,6999.0,4652637,1,14021392
WDO$D,W1,2022-01-16,1642291200,7000.5,7044.5,6835.5,6915.0,4500360,1,14503070
WDO$D,W1,2022-01-23,1642896000,6932.5,6979.0,6801.5,6816.0,4996890,1,16943752
WDO$D,W1,2022-01-30,1643500800,6800.5,6837.0,6691.5,6760.0,4295522,1,14472271
WDO$D,W1,2022-02-06,1644105600,6746.0,6753.0,6595.0,6673.5,5161739,1,15691541
WDO$D,W1,2022-02-13,1644710400,6673.5,6686.0,6514.0,6547.5,4797411,1,14719259
WDO$D,W1,2022-02-20,1645315200,6541.5,6594.0,6398.5,6583.0,5434296,1,17828839
WDO$D,W1,2022-02-27,1645920000,6636.5,6636.5,6430.0,6468.0,3113378,1,9420815
WDO$D,W1,2022-03-06,1646524800,6483.0,6520.5,6381.5,6473.0,5529670,1,17081429
WDO$D,W1,2022-03-13,1647129600,6453.0,6563.5,6380.5,6412.5,5010877,1,16033599
