symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WDO$,M30,2021-02-17 13:00:00,1613566800,7439.706,7448.095,7396.595,7399.595,95433,1,295052
WDO$,M30,2021-02-17 13:30:00,1613568600,7399.595,7422.595,7391.595,7415.095,77382,1,250086
WDO$,M30,2021-02-17 14:00:00,1613570400,7415.595,7435.595,7406.095,7429.595,62694,1,185223
WDO$,M30,2021-02-17 14:30:00,1613572200,7429.595,7430.095,7406.595,7417.595,55486,1,160354
WDO$,M30,2021-02-17 15:00:00,1613574000,7417.595,7433.595,7416.595,7426.095,49942,1,160560
WDO$,M30,2021-02-17 15:30:00,1613575800,7426.095,7441.595,7420.595,7427.095,47232,1,162421
WDO$,M30,2021-02-17 16:00:00,1613577600,7427.095,7436.595,7418.595,7433.595,39066,1,134426
WDO$,M30,2021-02-17 16:30:00,1613579400,7434.095,7436.095,7424.595,7429.095,22798,1,70321
WDO$,M30,2021-02-17 17:00:00,1613581200,7428.595,7440.595,7428.095,7432.595,25057,1,78881
WDO$,M30,2021-02-17 17:30:00,1613583000,7432.595,7432.595,7422.095,7424.595,16645,1,57046
WDO$,M30,2021-02-17 18:00:00,1613584800,7424.595,7431.595,7421.095,7426.095,11174,1,43560
WDO$,M30,2021-02-18 09:00:00,1613638800,7389.688,7409.91,7384.91,7408.41,104420,1,314286
WDO$,M30,2021-02-18 09:30:00,1613640600,7408.41,7412.91,7387.41,7402.41,86050,1,280707
WDO$,M30,2021-02-18 10:00:00,1613642400,7402.41,7419.41,7392.41,7412.91,80118,1,246063
WDO$,M30,2021-02-18 10:30:00,1613644200,7412.91,7440.41,7408.91,7430.91,93701,1,304330
WDO$,M30,2021-02-18 11:00:00,1613646000,7430.91,7443.41,7427.41,7432.41,61578,1,223568
WDO$,M30,2021-02-18 11:30:00,1613647800,7432.41,7441.41,7422.91,7425.91,77370,1,274038
WDO$,M30,2021-02-18 12:00:00,1613649600,7425.91,7456.91,7420.41,7449.91,70334,1,268649
WDO$,M30,2021-02-18 12:30:00,1613651400,7449.41,7466.41,7447.91,7463.41,65050,1,248314
WDO$,M30,2021-02-18 13:00:00,1613653200,7463.41,7467.91,7451.41,7455.41,38881,1,149713
WDO$,M30,2021-02-18 13:30:00,1613655000,7456.41,7460.91,7448.41,7452.91,23906,1,81050
WDO$,M30,2021-02-18 14:00:00,1613656800,7452.91,7459.91,7449.91,7452.41,24468,1,91672
WDO$,M30,2021-02-18 14:30:00,1613658600,7452.41,7460.41,7449.91,7457.41,21766,1,79245
WDO$,M30,2021-02-18 15:00:00,1613660400,7457.91,7467.41,7457.41,7459.91,32146,1,119920
WDO$,M30,2021-02-18 15:30:00,1613662200,7459.91,7460.41,7438.41,7440.41,44185,1,157166
WDO$,M30,2021-02-18 16:00:00,1613664000,7440.91,7453.41,7437.41,7449.91,26327,1,104452
WDO$,M30,2021-02-18 16:30:00,1613665800,7449.91,7454.41,7445.41,7450.41,18288,1,67796
WDO$,M30,2021-02-18 17:00:00,1613667600,7450.41,7454.41,7441.41,7442.41,15963,1,60267
WDO$,M30,2021-02-18 17:30:00,1613669400,7442.41,7447.41,7434.41,7440.41,22730,1,79690
WDO$,M30,2021-02-18 18:00:00,1613671200,7439.91,7447.91,7431.41,7437.41,9883,1,43742
WDO$,M30,2021-02-19 09:00:00,1613725200,7485.614,7497.429,7445.929,7447.929,101450,1,306154
WDO$,M30,2021-02-19 09:30:00,1613727000,7447.929,7453.929,7411.429,7417.429,122040,1,397366
WDO$,M30,2021-02-19 10:00:00,1613728800,7416.929,7440.429,7406.929,7427.429,91616,1,307300
WDO$,M30,2021-02-19 10:30:00,1613730600,7426.929,7427.429,7393.929,7396.429,75425,1,246679
WDO$,M30,2021-02-19 11:00:00,1613732400,7395.929,7416.929,7394.929,7400.429,67053,1,240450
WDO$,M30,2021-02-19 11:30:00,1613734200,7400.929,7403.929,7370.429,7372.929,85755,1,309674
WDO$,M30,2021-02-19 12:00:00,1613736000,7372.429,7377.429,7362.429,7364.929,53029,1,207944
WDO$,M30,2021-02-19 12:30:00,1613737800,7365.429,7379.429,7361.929,7374.429,49633,1,187968
WDO$,M30,2021-02-19 13:00:00,1613739600,7374.429,7375.429,7361.429,7369.929,39392,1,169718
WDO$,M30,2021-02-19 13:30:00,1613741400,7369.429,7397.429,7368.429,7395.429,44621,1,149097
WDO$,M30,2021-02-19 14:00:00,1613743200,7395.429,7399.929,7384.929,7397.929,43459,1,153691
WDO$,M30,2021-02-19 14:30:00,1613745000,7397.929,7423.429,7393.429,7399.429,61020,1,221422
WDO$,M30,2021-02-19 15:00:00,1613746800,7399.929,7429.429,7397.929,7416.929,44452,1,160505
WDO$,M30,2021-02-19 15:30:00,1613748600,7416.429,7420.929,7407.429,7414.429,35094,1,136003
WDO$,M30,2021-02-19 16:00:00,1613750400,7414.429,7418.429,7401.929,7414.929,29646,1,115950
WDO$,M30,2021-02-19 16:30:00,1613752200,7414.929,7417.429,7382.929,7382.929,27790,1,106253
WDO$,M30,2021-02-19 17:00:00,1613754000,7383.429,7394.429,7380.929,7391.929,21786,1,83095
WDO$,M30,2021-02-19 17:30:00,1613755800,7391.429,7394.429,7384.429,7389.429,16104,1,61923
WDO$,M30,2021-02-19 18:00:00,1613757600,7389.929,7389.929,7380.429,7380.429,8090,1,35342
WDO$,M30,2021-02-22 09:00:00,1613984400,7550.706,7584.058,7540.058,7568.058,125746,1,407160
WDO$,M30,2021-02-22 09:30:00,1613986200,7567.558,7577.058,7544.058,7553.058,85477,1,273828
WDO$,M30,2021-02-22 10:00:00,1613988000,7553.558,7571.558,7538.558,7570.558,96898,1,312286
WDO$,M30,2021-02-22 10:30:00,1613989800,7570.058,7583.558,7553.058,7575.058,78369,1,243499
WDO$,M30,2021-02-22 11:00:00,1613991600,7574.558,7584.058,7525.558,7564.558,76100,1,274142
WDO$,M30,2021-02-22 11:30:00,1613993400,7564.058,7574.058,7522.558,7525.558,78008,1,274564
WDO$,M30,2021-02-22 12:00:00,1613995200,7525.558,7540.558,7505.058,7525.558,81728,1,287682
WDO$,M30,2021-02-22 12:30:00,1613997000,7525.558,7547.558,7520.558,7531.558,53501,1,182609
WDO$,M30,2021-02-22 13:00:00,1613998800,7531.558,7539.558,7514.058,7517.058,38800,1,140020
WDO$,M30,2021-02-22 13:30:00,1614000600,7517.058,7524.558,7504.058,7511.058,37932,1,129555
WDO$,M30,2021-02-22 14:00:00,1614002400,7511.558,7523.558,7492.058,7493.558,49896,1,167585
WDO$,M30,2021-02-22 14:30:00,1614004200,7493.558,7494.558,7472.058,7486.558,47736,1,168687
WDO$,M30,2021-02-22 15:00:00,1614006000,7486.558,7490.558,7467.558,7470.058,37358,1,134607
WDO$,M30,2021-02-22 15:30:00,1614007800,7469.558,7477.558,7456.558,7468.058,42059,1,161337
WDO$,M30,2021-02-22 16:00:00,1614009600,7468.058,7470.058,7455.558,7467.058,27712,1,97533
WDO$,M30,2021-02-22 16:30:00,1614011400,7467.058,7486.558,7466.558,7482.558,31153,1,113790
WDO$,M30,2021-02-22 17:00:00,1614013200,7483.058,7491.558,7480.558,7490.058,25510,1,96193
WDO$,M30,2021-02-22 17:30:00,1614015000,7490.058,7504.558,7477.058,7491.058,30914,1,107732
WDO$,M30,2021-02-22 18:00:00,1614016800,7491.558,7502.558,7481.558,7498.558,13953,1,58484
WDO$,M30,2021-02-23 09:00:00,1614070800,7471.91,7484.836,7453.336,7472.836,97004,1,263210
WDO$,M30,2021-02-23 09:30:00,1614072600,7472.836,7487.336,7459.336,7465.336,94305,1,261346
WDO$,M30,2021-02-23 10:00:00,1614074400,7465.336,7470.836,7449.836,7465.336,94880,1,258066
WDO$,M30,2021-02-23 10:30:00,1614076200,7465.336,7493.836,7461.336,7486.836,77557,1,232077
WDO$,M30,2021-02-23 11:00:00,1614078000,7487.336,7501.336,7473.836,7487.836,85230,1,266326
WDO$,M30,2021-02-23 11:30:00,1614079800,7487.336,7511.836,7487.336,7497.336,84747,1,282088
WDO$,M30,2021-02-23 12:00:00,1614081600,7497.836,7499.836,7438.336,7447.836,97761,1,343495
WDO$,M30,2021-02-23 12:30:00,1614083400,7447.336,7451.836,7422.836,7426.336,74324,1,263735
