symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WIN$D,M15,2021-01-11 09:00:00,1610355600,184315.0,184440.0,183915.0,183945.0,87809,5,264968
WIN$D,M15,2021-01-11 09:15:00,1610356500,183950.0,183985.0,183560.0,183980.0,138218,5,441989
WIN$D,M15,2021-01-11 09:30:00,1610357400,183985.0,184005.0,183780.0,183895.0,87433,5,296146
WIN$D,M15,2021-01-11 09:45:00,1610358300,183900.0,183940.0,183745.0,183840.0,82283,5,273346
WIN$D,M15,2021-01-11 10:00:00,1610359200,183835.0,183955.0,183365.0,183940.0,215204,5,716133
WIN$D,M15,2021-01-11 10:15:00,1610360100,183940.0,184115.0,183705.0,183725.0,183188,5,613538
WIN$D,M15,2021-01-11 10:30:00,1610361000,183720.0,183755.0,183375.0,183645.0,155796,5,524488
WIN$D,M15,2021-01-11 10:45:00,1610361900,183640.0,183715.0,183325.0,183545.0,137626,5,510180
WIN$D,M15,2021-01-11 11:00:00,1610362800,183540.0,184090.0,183490.0,183980.0,154921,5,587198
WIN$D,M15,2021-01-11 11:15:00,1610363700,183980.0,184205.0,183795.0,184050.0,172799,5,661790
WIN$D,M15,2021-01-11 11:30:00,1610364600,184050.0,184375.0,183900.0,184325.0,226219,5,894464
WIN$D,M15,2021-01-11 11:45:00,1610365500,184325.0,184690.0,184065.0,184625.0,177552,5,682243
WIN$D,M15,2021-01-11 12:00:00,1610366400,184625.0,184730.0,184050.0,184075.0,153045,5,587916
WIN$D,M15,2021-01-11 12:15:00,1610367300,184070.0,184260.0,183915.0,184105.0,134754,5,514506
WIN$D,M15,2021-01-11 12:30:00,1610368200,184105.0,184175.0,183845.0,183955.0,101592,5,424625
WIN$D,M15,2021-01-11 12:45:00,1610369100,183955.0,183960.0,183585.0,183700.0,131195,5,513014
WIN$D,M15,2021-01-11 13:00:00,1610370000,183695.0,183700.0,182995.0,183210.0,179999,5,690661
WIN$D,M15,2021-01-11 13:15:00,1610370900,183210.0,183950.0,183205.0,183925.0,126487,5,494896
WIN$D,M15,2021-01-11 13:30:00,1610371800,183925.0,184115.0,183790.0,183960.0,109388,5,438025
WIN$D,M15,2021-01-11 13:45:00,1610372700,183960.0,183980.0,183710.0,183830.0,87495,5,342422
WIN$D,M15,2021-01-11 14:00:00,1610373600,183825.0,183905.0,183590.0,183735.0,101174,5,405648
WIN$D,M15,2021-01-11 14:15:00,1610374500,183735.0,183800.0,183505.0,183625.0,89473,5,361454
WIN$D,M15,2021-01-11 14:30:00,1610375400,183620.0,183905.0,183500.0,183665.0,119638,5,486162
WIN$D,M15,2021-01-11 14:45:00,1610376300,183665.0,183885.0,183650.0,183790.0,84256,5,341497
WIN$D,M15,2021-01-11 15:00:00,1610377200,183785.0,183850.0,183575.0,183755.0,84638,5,330342
WIN$D,M15,2021-01-11 15:15:00,1610378100,183755.0,183830.0,183105.0,183265.0,142802,5,550066
WIN$D,M15,2021-01-11 15:30:00,1610379000,183265.0,183375.0,183150.0,183285.0,80942,5,313263
WIN$D,M15,2021-01-11 15:45:00,1610379900,183290.0,183715.0,183220.0,183515.0,116009,5,453742
WIN$D,M15,2021-01-11 16:00:00,1610380800,183515.0,183680.0,183430.0,183570.0,84601,5,361422
