symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WSP$D,D1,2021-01-11,1610323200,4525.0,4536.5,4504.25,4516.0,841,1,5270
WSP$D,D1,2021-01-12,1610409600,4528.5,4531.0,4495.75,4527.75,1034,1,4037
WSP$D,D1,2021-01-13,1610496000,4517.25,4540.25,4505.5,4535.75,943,1,5347
WSP$D,D1,2021-01-14,1610582400,4535.5,4543.25,4519.0,4519.0,568,1,3584
WSP$D,D1,2021-01-15,1610668800,4505.5,4508.25,4469.0,4483.25,842,1,6257
WSP$D,D1,2021-01-18,1610928000,4487.5,4496.25,4484.75,4494.25,260,1,1095
WSP$D,D1,2021-01-19,1611014400,4515.5,4522.75,4498.25,4507.75,823,1,3408
WSP$D,D1,2021-01-20,1611100800,4528.25,4577.25,4528.0,4576.75,4343,1,18690
WSP$D,D1,2021-01-21,1611187200,4581.75,4583.0,4561.75,4577.25,1847,1,7238
WSP$D,D1,2021-01-22,1611273600,4547.25,4569.5,4540.0,4563.25,1119,1,5129
WSP$D,D1,2021-01-26,1611619200,4574.0,4587.25,4565.0,4575.75,834,1,6190
WSP$D,D1,2021-01-27,1611705600,4542.75,4544.25,4449.5,4469.0,4478,1,18616
WSP$D,D1,2021-01-28,1611792000,4463.25,4547.25,4457.25,4510.25,4171,1,14448
WSP$D,D1,2021-01-29,1611878400,4483.0,4498.25,4412.25,4444.0,2855,1,15914
WSP$D,D1,2021-02-01,1612137600,4467.0,4501.25,4442.0,4499.25,1571,1,6910
WSP$D,D1,2021-02-02,1612224000,4518.25,4560.0,4518.25,4548.0,2216,1,9896
WSP$D,D1,2021-02-03,1612310400,4558.25,4564.5,4534.25,4553.25,998,1,4203
WSP$D,D1,2021-02-04,1612396800,4551.0,4583.25,4548.25,4583.25,1133,1,4388
WSP$D,D1,2021-02-05,1612483200,4608.25,4613.0,4592.75,4602.75,858,1,4632
WSP$D,D1,2021-02-08,1612742400,4615.5,4627.5,4612.25,4626.75,1098,1,3822
WSP$D,D1,2021-02-09,1612828800,4627.75,4635.75,4619.75,4631.5,650,1,2259
WSP$D,D1,2021-02-10,1612915200,4640.5,4651.75,4602.5,4628.25,1826,1,5734
WSP$D,D1,2021-02-11,1613001600,4638.25,4644.5,4609.25,4635.0,832,1,2992
WSP$D,D1,2021-02-12,1613088000,4629.25,4654.25,4623.0,4654.25,820,1,2995
WSP$D,D1,2021-02-17,1613520000,4645.0,4652.25,4623.0,4651.0,625,1,4230
WSP$D,D1,2021-02-18,1613606400,4637.5,4641.25,4599.25,4636.25,1428,1,6123
WSP$D,D1,2021-02-19,1613692800,4641.5,4654.0,4624.5,4630.25,1009,1,3169
WSP$D,D1,2021-02-22,1613952000,4597.75,4622.75,4590.75,4596.25,690,1,4617
WSP$D,D1,2021-02-23,1614038400,4586.25,4616.0,4529.75,4606.5,1658,1,9265
WSP$D,D1,2021-02-24,1614124800,4602.75,4648.25,4580.25,4641.75,1436,1,7043
WSP$D,D1,2021-02-25,1614211200,4636.5,4645.5,4534.75,4553.25,2900,1,19132
WSP$D,D1,2021-02-26,1614297600,4541.25,4581.25,4509.75,4553.25,1745,1,16082
WSP$D,D1,2021-03-01,1614556800,4568.25,4635.25,4567.25,4619.75,1284,1,7315
WSP$D,D1,2021-03-02,1614643200,4614.0,4626.5,4592.5,4596.25,1368,1,7019
WSP$D,D1,2021-03-03,1614729600,4615.0,4616.75,4544.75,4544.75,1442,1,12657
WSP$D,D1,2021-03-04,1614816000,4527.75,4565.0,4445.0,4489.0,3244,1,26235
WSP$D,D1,2021-03-05,1614902400,4495.5,4568.25,4451.5,4566.5,3455,1,20194
WSP$D,D1,2021-03-08,1615161600,4545.5,4601.5,4533.5,4551.5,1406,1,9048
WSP$D,D1,2021-03-09,1615248000,4583.5,4623.5,4573.25,4599.0,1491,1,9374
WSP$D,D1,2021-03-10,1615334400,4597.5,4638.25,4593.5,4618.25,1040,1,7120
WSP$D,D1,2021-03-11,1615420800,4646.25,4681.5,4640.5,4661.25,1032,1,7003
WSP$D,D1,2021-03-12,1615507200,4640.25,4666.0,4637.25,4663.75,777,1,4457
WSP$D,D1,2021-03-15,1615766400,4666.25,4693.0,4646.75,4687.25,651,1,3733
WSP$D,D1,2021-03-16,1615852800,4691.5,4703.0,4676.5,4692.75,1362,1,10009
WSP$D,D1,2021-03-17,1615939200,4670.5,4707.0,4659.0,4695.25,981,1,10861
WSP$D,D1,2021-03-18,1616025600,4673.25,4692.5,4633.75,4648.25,758,1,3114
WSP$D,D1,2021-03-19,1616112000,4652.5,4660.25,4611.75,4636.0,948,1,8406
WSP$D,D1,2021-03-22,1616371200,4644.25,4679.75,4640.0,4676.5,645,1,5972
WSP$D,D1,2021-03-23,1616457600,4651.75,4674.0,4627.0,4643.0,801,1,5811
WSP$D,D1,2021-03-24,1616544000,4647.5,4666.75,4613.25,4618.0,865,1,9822
WSP$D,D1,2021-03-25,1616630400,4600.25,4643.5,4579.25,4639.25,1799,1,11503
WSP$D,D1,2021-03-26,1616716800,4644.75,4701.25,4639.25,4698.25,1095,1,8332
WSP$D,D1,2021-03-29,1616976000,4682.75,4707.5,4665.75,4699.0,924,1,4535
WSP$D,D1,2021-03-30,1617062400,4681.0,4691.0,4667.75,4683.75,914,1,5694
WSP$D,D1,2021-03-31,1617148800,4687.0,4717.25,4685.75,4700.75,664,1,4111
WSP$D,D1,2021-04-01,1617235200,4716.5,4748.75,4715.5,4748.5,1051,1,5790
WSP$D,D1,2021-04-05,1617580800,4764.25,4807.0,4763.25,4804.5,1632,1,6146
WSP$D,D1,2021-04-06,1617667200,4796.75,4809.5,4791.75,4803.25,866,1,3860
WSP$D,D1,2021-04-07,1617753600,4799.5,4812.5,4792.25,4812.5,700,1,3782
WSP$D,D1,2021-04-08,1617840000,4816.75,4833.25,4808.25,4833.25,711,1,3066
WSP$D,D1,2021-04-09,1617926400,4830.5,4855.75,4817.0,4850.0,662,1,4227
WSP$D,D1,2021-04-12,1618185600,4847.0,4858.75,4841.75,4858.0,562,1,2066
WSP$D,D1,2021-04-13,1618272000,4844.5,4874.0,4843.25,4868.5,752,1,3180
WSP$D,D1,2021-04-14,1618358400,4874.5,4878.75,4848.75,4858.75,1524,1,4559
WSP$D,D1,2021-04-15,1618444800,4875.5,4901.0,4874.0,4898.0,779,1,3613
WSP$D,D1,2021-04-16,1618531200,4903.75,4918.5,4897.5,4910.5,698,1,3670
WSP$D,D1,2021-04-19,1618790400,4902.0,4906.25,4877.25,4893.25,1081,1,6283
WSP$D,D1,2021-04-20,1618876800,4877.25,4887.25,4846.5,4858.25,929,1,4939
WSP$D,D1,2021-04-22,1619049600,4894.25,4906.25,4850.75,4865.75,1489,1,10065
WSP$D,D1,2021-04-23,1619136000,4871.5,4920.5,4864.75,4905.5,979,1,4930
WSP$D,D1,2021-04-26,1619395200,4905.75,4918.75,4904.25,4915.75,595,1,3084
WSP$D,D1,2021-04-27,1619481600,4917.0,4919.25,4902.5,4915.0,558,1,2429
WSP$D,D1,2021-04-28,1619568000,4911.25,4927.0,4906.5,4925.25,829,1,4334
WSP$D,D1,2021-04-29,1619654400,4936.25,4944.25,4904.0,4940.5,1054,1,6105
WSP$D,D1,2021-04-30,1619740800,4920.75,4924.75,4902.0,4917.0,1070,1,11341
WSP$D,D1,2021-05-03,1620000000,4930.0,4936.75,4916.0,4916.5,644,1,3401
WSP$D,D1,2021-05-04,1620086400,4905.25,4905.25,4856.5,4896.75,1340,1,8803
WSP$D,D1,2021-05-05,1620172800,4908.25,4914.5,4888.75,4896.5,700,1,2981
WSP$D,D1,2021-05-06,1620259200,4899.75,4943.25,4877.0,4932.75,1218,1,4414
WSP$D,D1,2021-05-07,1620345600,4939.25,4970.0,4931.25,4962.0,1367,1,6867
WSP$D,D1,2021-05-10,1620604800,4963.0,4969.5,4913.0,4913.0,986,1,4416
WSP$D,D1,2021-05-11,1620691200,4878.75,4891.0,4839.25,4877.25,2542,1,15482
WSP$D,D1,2021-05-12,1620777600,4869.75,4870.75,4785.75,4785.75,3019,1,20290
WSP$D,D1,2021-05-13,1620864000,4795.75,4861.25,4794.75,4842.0,2225,1,13095
WSP$D,D1,2021-05-14,1620950400,4870.5,4911.75,4858.0,4905.75,1139,1,8025
WSP$D,D1,2021-05-17,1621209600,4884.5,4900.5,4871.75,4900.5,819,1,4803
