symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WSP$D,M30,2021-01-11 09:00:00,1610355600,4525.0,4528.5,4518.5,4523.25,72,1,629
WSP$D,M30,2021-01-11 09:30:00,1610357400,4524.0,4529.25,4522.25,4524.25,31,1,179
WSP$D,M30,2021-01-11 10:00:00,1610359200,4523.0,4523.5,4516.25,4516.25,41,1,84
WSP$D,M30,2021-01-11 10:30:00,1610361000,4516.25,4516.75,4509.0,4510.0,87,1,860
WSP$D,M30,2021-01-11 11:00:00,1610362800,4509.75,4512.75,4504.25,4511.25,56,1,187
WSP$D,M30,2021-01-11 11:30:00,1610364600,4511.25,4523.75,4510.5,4523.25,101,1,697
WSP$D,M30,2021-01-11 12:00:00,1610366400,4523.25,4529.0,4520.25,4529.0,59,1,344
WSP$D,M30,2021-01-11 12:30:00,1610368200,4528.25,4530.0,4522.5,4523.75,45,1,126
WSP$D,M30,2021-01-11 13:00:00,1610370000,4526.0,4530.25,4518.25,4528.75,45,1,199
WSP$D,M30,2021-01-11 13:30:00,1610371800,4529.75,4530.25,4528.0,4529.75,17,1,58
WSP$D,M30,2021-01-11 14:00:00,1610373600,4530.5,4531.25,4529.0,4529.25,16,1,81
WSP$D,M30,2021-01-11 14:30:00,1610375400,4530.75,4536.5,4530.75,4533.75,37,1,170
WSP$D,M30,2021-01-11 15:00:00,1610377200,4535.0,4536.0,4528.25,4529.75,39,1,160
WSP$D,M30,2021-01-11 15:30:00,1610379000,4529.0,4529.25,4520.75,4524.5,56,1,939
WSP$D,M30,2021-01-11 16:00:00,1610380800,4521.5,4522.25,4516.0,4516.5,22,1,78
WSP$D,M30,2021-01-11 16:30:00,1610382600,4516.75,4527.0,4516.25,4526.0,25,1,101
WSP$D,M30,2021-01-11 17:00:00,1610384400,4525.0,4527.5,4514.0,4514.0,54,1,216
WSP$D,M30,2021-01-11 17:30:00,1610386200,4516.25,4518.75,4513.0,4516.0,38,1,162
WSP$D,M30,2021-01-12 09:00:00,1610442000,4528.5,4531.0,4527.25,4529.75,32,1,78
WSP$D,M30,2021-01-12 09:30:00,1610443800,4530.25,4530.25,4528.25,4528.25,3,1,3
WSP$D,M30,2021-01-12 10:00:00,1610445600,4528.25,4528.25,4522.75,4523.75,81,1,283
WSP$D,M30,2021-01-12 10:30:00,1610447400,4524.75,4525.75,4513.0,4517.75,33,1,111
WSP$D,M30,2021-01-12 11:00:00,1610449200,4517.0,4521.25,4514.25,4520.25,39,1,109
WSP$D,M30,2021-01-12 11:30:00,1610451000,4523.25,4523.5,4509.75,4519.0,50,1,145
WSP$D,M30,2021-01-12 12:00:00,1610452800,4515.5,4528.25,4514.5,4524.5,42,1,185
WSP$D,M30,2021-01-12 12:30:00,1610454600,4525.25,4526.5,4520.75,4522.75,31,1,314
WSP$D,M30,2021-01-12 13:00:00,1610456400,4521.75,4529.75,4520.25,4522.25,25,1,194
WSP$D,M30,2021-01-12 13:30:00,1610458200,4518.25,4520.5,4510.25,4513.5,36,1,103
WSP$D,M30,2021-01-12 14:00:00,1610460000,4509.0,4509.0,4495.75,4506.0,93,1,398
WSP$D,M30,2021-01-12 14:30:00,1610461800,4505.75,4512.25,4502.5,4511.75,80,1,265
WSP$D,M30,2021-01-12 15:00:00,1610463600,4512.25,4517.5,4511.0,4517.25,44,1,152
WSP$D,M30,2021-01-12 15:30:00,1610465400,4517.25,4523.25,4516.25,4520.75,178,1,399
WSP$D,M30,2021-01-12 16:00:00,1610467200,4521.25,4526.25,4520.75,4521.75,92,1,420
WSP$D,M30,2021-01-12 16:30:00,1610469000,4523.0,4525.5,4514.25,4519.25,75,1,447
