a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-90,XW,XWZ6,D1,2016-08-01,1470009600,433.0,434.0,432.25,433.0,35001,0,2,2016-07-31/2016-08-06,183
2,-89,XW,XWZ6,D1,2016-08-02,1470096000,432.0,436.0,426.25,428.875,60030,0,76,2016-07-31/2016-08-06,183
3,-88,XW,XWZ6,D1,2016-08-03,1470182400,431.75,440.0,428.75,435.375,40015,0,54,2016-07-31/2016-08-06,183
4,-87,XW,XWZ6,D1,2016-08-04,1470268800,436.0,440.5,430.875,431.0,10016,0,19,2016-07-31/2016-08-06,183
5,-86,XW,XWZ6,D1,2016-08-05,1470355200,431.0,441.75,431.0,435.75,40023,0,32,2016-07-31/2016-08-06,183
6,-85,XW,XWZ6,D1,2016-08-08,1470614400,437.75,444.25,433.875,438.75,50035,0,102,2016-08-07/2016-08-13,320
7,-84,XW,XWZ6,D1,2016-08-09,1470700800,438.0,440.0,433.75,436.75,12529,0,39,2016-08-07/2016-08-13,320
8,-83,XW,XWZ6,D1,2016-08-10,1470787200,436.0,445.875,436.0,443.5,20022,0,36,2016-08-07/2016-08-13,320
9,-82,XW,XWZ6,D1,2016-08-11,1470873600,442.0,443.875,435.5,437.0,70021,0,62,2016-08-07/2016-08-13,320
10,-81,XW,XWZ6,D1,2016-08-12,1470960000,437.0,440.0,427.0,440.0,157533,0,81,2016-08-07/2016-08-13,320
11,-80,XW,XWZ6,D1,2016-08-15,1471219200,438.5,445.5,435.5,437.0,42541,0,67,2016-08-14/2016-08-20,411
12,-79,XW,XWZ6,D1,2016-08-16,1471305600,438.25,442.5,433.0,440.25,95042,0,82,2016-08-14/2016-08-20,411
13,-78,XW,XWZ6,D1,2016-08-17,1471392000,439.5,443.125,436.375,440.5,35029,0,70,2016-08-14/2016-08-20,411
14,-77,XW,XWZ6,D1,2016-08-18,1471478400,441.625,445.0,437.75,444.25,77539,0,73,2016-08-14/2016-08-20,411
15,-76,XW,XWZ6,D1,2016-08-19,1471564800,444.25,449.25,439.875,444.0,107559,0,119,2016-08-14/2016-08-20,411
16,-75,XW,XWZ6,D1,2016-08-22,1471824000,446.0,446.25,434.375,435.5,180093,0,166,2016-08-21/2016-08-27,1175
17,-74,XW,XWZ6,D1,2016-08-23,1471910400,434.125,434.125,426.875,426.875,145087,0,208,2016-08-21/2016-08-27,1175
18,-73,XW,XWZ6,D1,2016-08-24,1471996800,427.0,428.375,423.875,426.25,102593,0,207,2016-08-21/2016-08-27,1175
19,-72,XW,XWZ6,D1,2016-08-25,1472083200,427.75,429.875,423.25,425.25,97602,0,185,2016-08-21/2016-08-27,1175
20,-71,XW,XWZ6,D1,2016-08-26,1472169600,422.75,424.25,404.625,408.0,395162,0,409,2016-08-21/2016-08-27,1175
21,-70,XW,XWZ6,D1,2016-08-29,1472428800,407.5,409.625,395.125,395.125,580200,0,488,2016-08-28/2016-09-03,1615
22,-69,XW,XWZ6,D1,2016-08-30,1472515200,396.75,400.375,391.5,392.25,310145,0,295,2016-08-28/2016-09-03,1615
23,-68,XW,XWZ6,D1,2016-08-31,1472601600,392.25,395.75,386.5,389.5,207613,0,317,2016-08-28/2016-09-03,1615
24,-67,XW,XWZ6,D1,2016-09-01,1472688000,390.75,397.25,389.5,394.5,195113,0,247,2016-08-28/2016-09-03,1615
25,-66,XW,XWZ6,D1,2016-09-02,1472774400,394.0,401.25,394.0,397.625,167617,0,268,2016-08-28/2016-09-03,1615
26,-65,XW,XWZ6,D1,2016-09-06,1473120000,398.625,402.875,395.0,398.5,157587,0,182,2016-09-04/2016-09-10,739
27,-64,XW,XWZ6,D1,2016-09-07,1473206400,397.375,404.5,397.375,402.5,105071,0,144,2016-09-04/2016-09-10,739
28,-63,XW,XWZ6,D1,2016-09-08,1473292800,402.5,406.625,398.625,404.0,110084,0,164,2016-09-04/2016-09-10,739
29,-62,XW,XWZ6,D1,2016-09-09,1473379200,405.0,405.125,397.0,401.625,212587,0,249,2016-09-04/2016-09-10,739
30,-61,XW,XWZ6,D1,2016-09-12,1473638400,398.5,409.75,398.5,407.75,407610,0,285,2016-09-11/2016-09-17,1271
31,-60,XW,XWZ6,D1,2016-09-13,1473724800,408.125,410.5,399.0,401.0,177595,0,234,2016-09-11/2016-09-17,1271
32,-59,XW,XWZ6,D1,2016-09-14,1473811200,400.125,404.0,394.875,403.5,170095,0,235,2016-09-11/2016-09-17,1271
