a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-115,YM,YMZ6,D1,2016-08-02,1470096000,18251.0,18258.0,18106.0,18149.0,83,0,64,2016-07-31/2016-08-06,252
2,-114,YM,YMZ6,D1,2016-08-03,1470182400,18149.0,18186.0,18118.0,18164.0,25,0,25,2016-07-31/2016-08-06,252
3,-113,YM,YMZ6,D1,2016-08-04,1470268800,18177.0,18241.0,18165.0,18176.0,51,0,63,2016-07-31/2016-08-06,252
4,-112,YM,YMZ6,D1,2016-08-05,1470355200,18195.0,18373.0,18195.0,18360.0,115,0,100,2016-07-31/2016-08-06,252
5,-111,YM,YMZ6,D1,2016-08-07,1470528000,18380.0,18380.0,18380.0,18380.0,1,0,1,2016-08-07/2016-08-13,380
2,-177,YM,YMH7,D1,2016-08-08,1470614400,18300.0,18310.0,18300.0,18310.0,2,0,2,2016-08-07/2016-08-13,32807
3,-176,YM,YMH7,D1,2016-08-09,1470700800,18340.0,18340.0,18331.0,18331.0,2,0,11,2016-08-07/2016-08-13,32807
4,-175,YM,YMH7,D1,2016-08-10,1470787200,18290.0,18329.0,18290.0,18329.0,2,0,11,2016-08-07/2016-08-13,32807
5,-174,YM,YMH7,D1,2016-08-11,1470873600,18325.0,18413.0,18325.0,18413.0,6,0,20,2016-08-07/2016-08-13,32807
6,-173,YM,YMH7,D1,2016-08-12,1470960000,18359.0,18359.0,18359.0,18359.0,1,0,32763,2016-08-07/2016-08-13,32807
11,-105,YM,YMZ6,D1,2016-08-15,1471219200,18455.0,18535.0,18455.0,18501.0,100,0,98,2016-08-14/2016-08-20,535
12,-104,YM,YMZ6,D1,2016-08-16,1471305600,18475.0,18485.0,18420.0,18422.0,52,0,75,2016-08-14/2016-08-20,535
13,-103,YM,YMZ6,D1,2016-08-17,1471392000,18465.0,18465.0,18354.0,18444.0,124,0,115,2016-08-14/2016-08-20,535
14,-102,YM,YMZ6,D1,2016-08-18,1471478400,18463.0,18487.0,18411.0,18475.0,58,0,49,2016-08-14/2016-08-20,535
15,-101,YM,YMZ6,D1,2016-08-19,1471564800,18475.0,18480.0,18385.0,18441.0,142,0,198,2016-08-14/2016-08-20,535
16,-100,YM,YMZ6,D1,2016-08-21,1471737600,18450.0,18455.0,18450.0,18455.0,3,0,3,2016-08-21/2016-08-27,839
17,-99,YM,YMZ6,D1,2016-08-22,1471824000,18432.0,18470.0,18357.0,18429.0,156,0,93,2016-08-21/2016-08-27,839
18,-98,YM,YMZ6,D1,2016-08-23,1471910400,18420.0,18520.0,18420.0,18438.0,95,0,117,2016-08-21/2016-08-27,839
19,-97,YM,YMZ6,D1,2016-08-24,1471996800,18450.0,18454.0,18343.0,18386.0,68,0,124,2016-08-21/2016-08-27,839
20,-96,YM,YMZ6,D1,2016-08-25,1472083200,18371.0,18392.0,18326.0,18361.0,128,0,131,2016-08-21/2016-08-27,839
21,-95,YM,YMZ6,D1,2016-08-26,1472169600,18365.0,18460.0,18226.0,18292.0,594,0,371,2016-08-21/2016-08-27,839
22,-94,YM,YMZ6,D1,2016-08-28,1472342400,18275.0,18288.0,18266.0,18288.0,38,0,22,2016-08-28/2016-09-03,1648
14,-165,YM,YMH7,D1,2016-08-29,1472428800,18209.0,18340.0,18209.0,18335.0,4,0,18181,2016-08-28/2016-09-03,18212
24,-92,YM,YMZ6,D1,2016-08-30,1472515200,18407.0,18427.0,18318.0,18353.0,110,0,115,2016-08-28/2016-09-03,1648
15,-164,YM,YMH7,D1,2016-08-31,1472601600,18273.0,18273.0,18180.0,18236.0,3,0,3,2016-08-28/2016-09-03,18212
16,-163,YM,YMH7,D1,2016-09-01,1472688000,18270.0,18270.0,18218.0,18260.0,5,0,5,2016-08-28/2016-09-03,18212
17,-162,YM,YMH7,D1,2016-09-02,1472774400,18258.0,18338.0,18214.0,18284.0,93,0,23,2016-08-28/2016-09-03,18212
28,-88,YM,YMZ6,D1,2016-09-05,1473033600,18419.0,18429.0,18381.0,18399.0,111,0,259,2016-09-04/2016-09-10,200377
29,-87,YM,YMZ6,D1,2016-09-06,1473120000,18399.0,18456.0,18351.0,18434.0,829,0,963,2016-09-04/2016-09-10,200377
30,-86,YM,YMZ6,D1,2016-09-07,1473206400,18435.0,18450.0,18387.0,18433.0,2215,0,3780,2016-09-04/2016-09-10,200377
31,-85,YM,YMZ6,D1,2016-09-08,1473292800,18436.0,18468.0,18350.0,18380.0,4465,0,10871,2016-09-04/2016-09-10,200377
32,-84,YM,YMZ6,D1,2016-09-09,1473379200,18379.0,18382.0,17943.0,17953.0,10789,0,184504,2016-09-04/2016-09-10,200377
33,-83,YM,YMZ6,D1,2016-09-11,1473552000,17967.0,17967.0,17903.0,17941.0,902,0,6236,2016-09-11/2016-09-17,1089252
34,-82,YM,YMZ6,D1,2016-09-12,1473638400,17938.0,18278.0,17822.0,18222.0,15086,0,275875,2016-09-11/2016-09-17,1089252
35,-81,YM,YMZ6,D1,2016-09-13,1473724800,18223.0,18225.0,17948.0,18012.0,15126,0,257796,2016-09-11/2016-09-17,1089252
36,-80,YM,YMZ6,D1,2016-09-14,1473811200,18013.0,18085.0,17906.0,17960.0,13057,0,192711,2016-09-11/2016-09-17,1089252
37,-79,YM,YMZ6,D1,2016-09-15,1473897600,17956.0,18168.0,17882.0,18085.0,12417,0,210203,2016-09-11/2016-09-17,1089252
38,-78,YM,YMZ6,D1,2016-09-16,1473984000,18078.0,18105.0,17982.0,18059.0,10897,0,146431,2016-09-11/2016-09-17,1089252
39,-77,YM,YMZ6,D1,2016-09-18,1474156800,18048.0,18122.0,18036.0,18100.0,656,0,2685,2016-09-18/2016-09-24,656934
40,-76,YM,YMZ6,D1,2016-09-19,1474243200,18101.0,18171.0,18004.0,18039.0,9290,0,121097,2016-09-18/2016-09-24,656934
41,-75,YM,YMZ6,D1,2016-09-20,1474329600,18040.0,18145.0,18031.0,18050.0,9840,0,112211,2016-09-18/2016-09-24,656934
42,-74,YM,YMZ6,D1,2016-09-21,1474416000,18053.0,18225.0,18011.0,18206.0,12345,0,188797,2016-09-18/2016-09-24,656934
43,-73,YM,YMZ6,D1,2016-09-22,1474502400,18207.0,18366.0,18193.0,18293.0,8234,0,128291,2016-09-18/2016-09-24,656934
44,-72,YM,YMZ6,D1,2016-09-23,1474588800,18295.0,18309.0,18165.0,18184.0,7777,0,103853,2016-09-18/2016-09-24,656934
45,-71,YM,YMZ6,D1,2016-09-25,1474761600,18168.0,18203.0,18166.0,18195.0,321,0,1166,2016-09-25/2016-10-01,789013
46,-70,YM,YMZ6,D1,2016-09-26,1474848000,18195.0,18203.0,17993.0,18010.0,9695,0,126878,2016-09-25/2016-10-01,789013
47,-69,YM,YMZ6,D1,2016-09-27,1474934400,18006.0,18152.0,17959.0,18132.0,11848,0,153663,2016-09-25/2016-10-01,789013
48,-68,YM,YMZ6,D1,2016-09-28,1475020800,18131.0,18260.0,18090.0,18249.0,10808,0,148314,2016-09-25/2016-10-01,789013
49,-67,YM,YMZ6,D1,2016-09-29,1475107200,18250.0,18279.0,17999.0,18070.0,13012,0,195078,2016-09-25/2016-10-01,789013
50,-66,YM,YMZ6,D1,2016-09-30,1475193600,18064.0,18283.0,17989.0,18193.0,12294,0,163914,2016-09-25/2016-10-01,789013
51,-65,YM,YMZ6,D1,2016-10-02,1475366400,18212.0,18237.0,18203.0,18234.0,516,0,2539,2016-10-02/2016-10-08,786876
52,-64,YM,YMZ6,D1,2016-10-03,1475452800,18228.0,18253.0,18108.0,18170.0,9790,0,119137,2016-10-02/2016-10-08,786876
53,-63,YM,YMZ6,D1,2016-10-04,1475539200,18167.0,18229.0,18022.0,18076.0,12303,0,207951,2016-10-02/2016-10-08,786876
54,-62,YM,YMZ6,D1,2016-10-05,1475625600,18068.0,18234.0,18054.0,18200.0,9471,0,136956,2016-10-02/2016-10-08,786876
55,-61,YM,YMZ6,D1,2016-10-06,1475712000,18200.0,18223.0,18076.0,18164.0,9077,0,131219,2016-10-02/2016-10-08,786876
56,-60,YM,YMZ6,D1,2016-10-07,1475798400,18166.0,18251.0,18061.0,18152.0,12163,0,189074,2016-10-02/2016-10-08,786876
57,-59,YM,YMZ6,D1,2016-10-09,1475971200,18209.0,18214.0,18182.0,18189.0,570,0,2356,2016-10-09/2016-10-15,799064
58,-58,YM,YMZ6,D1,2016-10-10,1476057600,18188.0,18320.0,18171.0,18270.0,7910,0,104690,2016-10-09/2016-10-15,799064
