a,z,ticker,symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume,dateweek,week_volume
1,-96,ZOE,ZOEZ6,D1,2016-08-01,1470009600,197.75,198.0,197.0,197.75,20004,0,10,2016-07-31/2016-08-06,2234
2,-95,ZOE,ZOEZ6,D1,2016-08-02,1470096000,197.0,197.0,190.5,190.5,170081,0,397,2016-07-31/2016-08-06,2234
3,-94,ZOE,ZOEZ6,D1,2016-08-03,1470182400,191.5,192.5,188.5,188.5,200140,0,569,2016-07-31/2016-08-06,2234
4,-93,ZOE,ZOEZ6,D1,2016-08-04,1470268800,188.75,190.5,181.0,185.5,470158,0,860,2016-07-31/2016-08-06,2234
5,-92,ZOE,ZOEZ6,D1,2016-08-05,1470355200,186.0,188.0,182.0,183.25,385155,0,398,2016-07-31/2016-08-06,2234
6,-91,ZOE,ZOEZ6,D1,2016-08-08,1470614400,183.5,186.75,183.0,186.0,225131,0,302,2016-08-07/2016-08-13,1290
7,-90,ZOE,ZOEZ6,D1,2016-08-09,1470700800,186.0,186.5,183.5,183.75,85096,0,195,2016-08-07/2016-08-13,1290
8,-89,ZOE,ZOEZ6,D1,2016-08-10,1470787200,184.0,185.0,183.0,183.25,115074,0,192,2016-08-07/2016-08-13,1290
9,-88,ZOE,ZOEZ6,D1,2016-08-11,1470873600,184.5,185.0,179.0,182.0,220139,0,353,2016-08-07/2016-08-13,1290
10,-87,ZOE,ZOEZ6,D1,2016-08-12,1470960000,182.0,184.5,180.0,181.5,140103,0,248,2016-08-07/2016-08-13,1290
11,-86,ZOE,ZOEZ6,D1,2016-08-15,1471219200,182.0,188.0,182.0,186.0,255141,0,491,2016-08-14/2016-08-20,1711
12,-85,ZOE,ZOEZ6,D1,2016-08-16,1471305600,186.5,188.0,185.0,187.25,205107,0,453,2016-08-14/2016-08-20,1711
13,-84,ZOE,ZOEZ6,D1,2016-08-17,1471392000,187.0,187.75,184.75,185.25,160074,0,376,2016-08-14/2016-08-20,1711
14,-83,ZOE,ZOEZ6,D1,2016-08-18,1471478400,185.75,185.75,183.0,183.75,85073,0,188,2016-08-14/2016-08-20,1711
15,-82,ZOE,ZOEZ6,D1,2016-08-19,1471564800,183.5,185.75,183.5,184.25,60074,0,203,2016-08-14/2016-08-20,1711
16,-81,ZOE,ZOEZ6,D1,2016-08-22,1471824000,184.0,188.5,183.5,188.5,110081,0,341,2016-08-21/2016-08-27,1702
17,-80,ZOE,ZOEZ6,D1,2016-08-23,1471910400,188.0,188.25,186.0,186.0,115083,0,264,2016-08-21/2016-08-27,1702
18,-79,ZOE,ZOEZ6,D1,2016-08-24,1471996800,186.0,187.25,182.0,184.25,370088,0,286,2016-08-21/2016-08-27,1702
19,-78,ZOE,ZOEZ6,D1,2016-08-25,1472083200,185.0,189.5,184.25,188.75,250086,0,322,2016-08-21/2016-08-27,1702
20,-77,ZOE,ZOEZ6,D1,2016-08-26,1472169600,188.5,188.75,182.0,183.0,305125,0,489,2016-08-21/2016-08-27,1702
21,-76,ZOE,ZOEZ6,D1,2016-08-29,1472428800,185.0,185.5,176.25,180.5,480150,0,695,2016-08-28/2016-09-03,2373
22,-75,ZOE,ZOEZ6,D1,2016-08-30,1472515200,179.5,180.0,174.25,177.0,485182,0,705,2016-08-28/2016-09-03,2373
23,-74,ZOE,ZOEZ6,D1,2016-08-31,1472601600,177.25,178.25,172.25,175.75,280103,0,344,2016-08-28/2016-09-03,2373
24,-73,ZOE,ZOEZ6,D1,2016-09-01,1472688000,177.5,181.25,175.75,181.25,325102,0,430,2016-08-28/2016-09-03,2373
25,-72,ZOE,ZOEZ6,D1,2016-09-02,1472774400,179.0,181.5,177.75,178.5,135088,0,199,2016-08-28/2016-09-03,2373
26,-71,ZOE,ZOEZ6,D1,2016-09-06,1473120000,178.5,178.5,173.0,173.75,155101,0,279,2016-09-04/2016-09-10,1012
27,-70,ZOE,ZOEZ6,D1,2016-09-07,1473206400,174.25,176.25,172.75,174.5,115083,0,250,2016-09-04/2016-09-10,1012
28,-69,ZOE,ZOEZ6,D1,2016-09-08,1473292800,175.25,178.0,174.0,178.0,105069,0,178,2016-09-04/2016-09-10,1012
29,-68,ZOE,ZOEZ6,D1,2016-09-09,1473379200,177.5,179.5,176.5,177.0,230071,0,305,2016-09-04/2016-09-10,1012
30,-67,ZOE,ZOEZ6,D1,2016-09-12,1473638400,176.25,177.75,174.25,174.5,215094,0,241,2016-09-11/2016-09-17,1585
31,-66,ZOE,ZOEZ6,D1,2016-09-13,1473724800,175.0,177.0,171.0,173.75,335096,0,395,2016-09-11/2016-09-17,1585
32,-65,ZOE,ZOEZ6,D1,2016-09-14,1473811200,173.0,178.75,173.0,174.5,130092,0,429,2016-09-11/2016-09-17,1585
33,-64,ZOE,ZOEZ6,D1,2016-09-15,1473897600,174.5,174.75,172.5,172.5,95061,0,191,2016-09-11/2016-09-17,1585
34,-63,ZOE,ZOEZ6,D1,2016-09-16,1473984000,174.0,176.5,172.25,176.0,95101,0,329,2016-09-11/2016-09-17,1585
35,-62,ZOE,ZOEZ6,D1,2016-09-19,1474243200,176.5,177.0,172.75,172.75,155091,0,334,2016-09-18/2016-09-24,1280
36,-61,ZOE,ZOEZ6,D1,2016-09-20,1474329600,173.75,175.75,173.0,175.0,125076,0,271,2016-09-18/2016-09-24,1280
37,-60,ZOE,ZOEZ6,D1,2016-09-21,1474416000,175.0,178.0,174.5,176.0,210103,0,437,2016-09-18/2016-09-24,1280
38,-59,ZOE,ZOEZ6,D1,2016-09-22,1474502400,176.5,178.0,176.5,178.0,30057,0,126,2016-09-18/2016-09-24,1280
39,-58,ZOE,ZOEZ6,D1,2016-09-23,1474588800,176.75,178.0,176.25,176.75,45044,0,112,2016-09-18/2016-09-24,1280
40,-57,ZOE,ZOEZ6,D1,2016-09-26,1474848000,176.0,177.5,172.0,174.5,160061,0,260,2016-09-25/2016-10-01,1349
41,-56,ZOE,ZOEZ6,D1,2016-09-27,1474934400,174.0,175.25,172.5,175.25,50060,0,149,2016-09-25/2016-10-01,1349
42,-55,ZOE,ZOEZ6,D1,2016-09-28,1475020800,175.0,175.0,174.0,174.0,55038,0,103,2016-09-25/2016-10-01,1349
43,-54,ZOE,ZOEZ6,D1,2016-09-29,1475107200,175.75,177.0,174.0,176.0,165068,0,255,2016-09-25/2016-10-01,1349
44,-53,ZOE,ZOEZ6,D1,2016-09-30,1475193600,176.25,180.0,173.5,178.5,330126,0,582,2016-09-25/2016-10-01,1349
45,-52,ZOE,ZOEZ6,D1,2016-10-03,1475452800,179.0,183.75,178.5,183.0,385155,0,739,2016-10-02/2016-10-08,2756
46,-51,ZOE,ZOEZ6,D1,2016-10-04,1475539200,182.5,183.5,180.5,181.25,155101,0,355,2016-10-02/2016-10-08,2756
47,-50,ZOE,ZOEZ6,D1,2016-10-05,1475625600,182.0,184.0,179.25,184.0,100093,0,360,2016-10-02/2016-10-08,2756
48,-49,ZOE,ZOEZ6,D1,2016-10-06,1475712000,184.0,189.0,182.75,188.0,215118,0,522,2016-10-02/2016-10-08,2756
49,-48,ZOE,ZOEZ6,D1,2016-10-07,1475798400,188.0,194.25,188.0,190.75,455163,0,780,2016-10-02/2016-10-08,2756
50,-47,ZOE,ZOEZ6,D1,2016-10-10,1476057600,194.75,198.0,192.25,197.0,480219,0,899,2016-10-09/2016-10-15,3480
51,-46,ZOE,ZOEZ6,D1,2016-10-11,1476144000,197.75,201.75,196.5,199.0,365161,0,715,2016-10-09/2016-10-15,3480
52,-45,ZOE,ZOEZ6,D1,2016-10-12,1476230400,199.0,203.0,197.5,198.75,420144,0,720,2016-10-09/2016-10-15,3480
53,-44,ZOE,ZOEZ6,D1,2016-10-13,1476316800,197.75,199.5,191.0,196.5,570174,0,805,2016-10-09/2016-10-15,3480
54,-43,ZOE,ZOEZ6,D1,2016-10-14,1476403200,196.25,200.0,195.75,199.75,155095,0,341,2016-10-09/2016-10-15,3480
55,-42,ZOE,ZOEZ6,D1,2016-10-17,1476662400,198.0,202.25,197.0,200.25,200094,0,376,2016-10-16/2016-10-22,3156
56,-41,ZOE,ZOEZ6,D1,2016-10-18,1476748800,199.75,205.75,197.5,204.0,400137,0,880,2016-10-16/2016-10-22,3156
57,-40,ZOE,ZOEZ6,D1,2016-10-19,1476835200,204.25,209.25,202.5,208.75,230116,0,630,2016-10-16/2016-10-22,3156
58,-39,ZOE,ZOEZ6,D1,2016-10-20,1476921600,209.0,212.5,205.75,211.75,450175,0,645,2016-10-16/2016-10-22,3156
59,-38,ZOE,ZOEZ6,D1,2016-10-21,1477008000,210.5,218.75,209.25,218.0,415151,0,625,2016-10-16/2016-10-22,3156
60,-37,ZOE,ZOEZ6,D1,2016-10-24,1477267200,218.25,219.0,212.5,212.5,395182,0,637,2016-10-23/2016-10-29,3454
61,-36,ZOE,ZOEZ6,D1,2016-10-25,1477353600,215.0,216.0,210.5,210.5,320124,0,416,2016-10-23/2016-10-29,3454
62,-35,ZOE,ZOEZ6,D1,2016-10-26,1477440000,210.25,216.5,210.25,215.5,165090,0,300,2016-10-23/2016-10-29,3454
63,-34,ZOE,ZOEZ6,D1,2016-10-27,1477526400,214.75,233.0,214.75,230.0,860171,0,1008,2016-10-23/2016-10-29,3454
64,-33,ZOE,ZOEZ6,D1,2016-10-28,1477612800,226.75,240.5,221.5,227.0,1210186,0,1093,2016-10-23/2016-10-29,3454
65,-32,ZOE,ZOEZ6,D1,2016-10-31,1477872000,228.5,229.5,220.25,220.75,4666,0,11748,2016-10-30/2016-11-05,53688
66,-31,ZOE,ZOEZ6,D1,2016-11-01,1477958400,220.0,224.5,219.25,220.25,3519,0,9320,2016-10-30/2016-11-05,53688
67,-30,ZOE,ZOEZ6,D1,2016-11-02,1478044800,221.0,228.75,221.0,225.75,4274,0,11189,2016-10-30/2016-11-05,53688
68,-29,ZOE,ZOEZ6,D1,2016-11-03,1478131200,225.75,227.75,217.75,221.0,4293,0,10510,2016-10-30/2016-11-05,53688
69,-28,ZOE,ZOEZ6,D1,2016-11-04,1478217600,221.0,232.25,220.75,229.0,4864,0,10921,2016-10-30/2016-11-05,53688
70,-27,ZOE,ZOEZ6,D1,2016-11-06,1478390400,229.0,229.0,229.0,229.0,297,0,756,2016-11-06/2016-11-12,44780
71,-26,ZOE,ZOEZ6,D1,2016-11-07,1478476800,229.0,229.75,226.0,228.0,3980,0,10578,2016-11-06/2016-11-12,44780
72,-25,ZOE,ZOEZ6,D1,2016-11-08,1478563200,228.0,230.0,225.5,225.5,4046,0,9685,2016-11-06/2016-11-12,44780
73,-24,ZOE,ZOEZ6,D1,2016-11-09,1478649600,225.5,227.75,222.0,223.0,2624,0,6422,2016-11-06/2016-11-12,44780
74,-23,ZOE,ZOEZ6,D1,2016-11-10,1478736000,222.5,224.25,220.75,221.0,2731,0,8001,2016-11-06/2016-11-12,44780
