Ref,Magic,Ticker,Symbol,Future,Side,Dir,Volume,Entry,Exit,Open,Close,Durat.Hr,Durat.Min,PTake,PStop,TP,SL,ULA Change,ULA Variat,Costs,Result,Return
AT_GL_Real,111513,BIT,BITF26,F26,Short,-1,1.0,2026-01-14 09:14:18,2026-01-14 13:14:14,514160.0,528500.0,3.9988888888888887,239.93333333333334,501280.0,,2.51,,14340.0,2.7890150925781825,0.0,-143.4,-2.7890150925781825
AT_GL_Real,101502,WIN,WING26,G26,Short,-1,1.0,2026-01-14 09:59:28,2026-01-14 11:28:59,164925.0,164770.0,1.4919444444444445,89.51666666666667,,166575.0,,-1.0,-155.0,-0.09398211308170801,0.0,31.0,0.09398211308170801
AT_GL_Real,111513,BIT,BITF26,F26,Short,-1,1.0,2026-01-14 13:14:20,2026-01-14 17:14:29,528240.0,530960.0,4.0025,240.15,515080.0,,2.49,,2720.0,0.5149174617598078,0.0,-27.2,-0.5149174617598078
AT_GL_Real,111505,BIT,BITF26,F26,Short,-1,1.0,2026-01-14 17:14:37,2026-01-14 17:34:07,530880.0,530280.0,0.325,19.5,,536180.0,,-1.0,-600.0,-0.11301989150091174,0.0,6.0,0.11301989150091174
AT_GL_Real,111504,BIT,BITF26,F26,Long,1,1.0,2026-01-19 13:42:12,2026-01-19 14:21:06,501200.0,501880.0,0.6483333333333333,38.9,,493660.0,,-1.5,680.0,0.135674381484435,0.0,6.8,0.135674381484435
,,WDO,WDOG26,G26,Long,1,1.0,2026-01-21 10:06:16,2026-01-21 10:06:20,5359.5,5359.0,0.0011111111111111111,0.06666666666666667,,,,,-0.5,-0.009329228472807927,0.0,-5.0,-0.009329228472807927
AT_GL_Real,101514,WIN,WING26,G26,Long,1,1.0,2026-01-22 09:44:03,2026-01-22 11:16:44,174340.0,175620.0,1.5447222222222223,92.68333333333334,175650.0,,0.75,,1280.0,0.7341975450269445,0.0,256.0,0.7341975450269445
AT_GL_Real,101522,WIN,WING26,G26,Short,-1,1.0,2026-01-22 12:29:49,2026-01-22 13:29:33,178080.0,178565.0,0.9955555555555555,59.733333333333334,176290.0,,1.0,,485.0,0.2723495058400687,0.0,-97.0,-0.2723495058400687
AT_GL_Real,121517,WDO,WDOG26,G26,Long,1,1.0,2026-01-23 09:44:01,2026-01-23 17:34:10,5304.0,5298.5,7.835833333333333,470.15,,5237.5,,-1.25,-5.5,-0.10369532428356365,0.0,-55.0,-0.10369532428356365
AT_GL_Real,101502,WIN,WING26,G26,Short,-1,1.0,2026-01-27 09:59:50,2026-01-27 11:26:11,182350.0,184170.0,1.4391666666666667,86.35,,184175.0,,-1.0,1820.0,0.9980806142034595,0.0,-364.0,-0.9980806142034595
