const,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WIN$N,M1,2025-06-06 10:36:00,1749206160,137455.0,137535.0,137415.0,137425.0,20515,5,62191
WIN$N,M1,2025-06-06 10:37:00,1749206220,137430.0,137450.0,137355.0,137365.0,16531,5,53938
WIN$N,M1,2025-06-06 10:38:00,1749206280,137370.0,137420.0,137280.0,137295.0,17730,5,54008
WIN$N,M1,2025-06-06 10:39:00,1749206340,137295.0,137420.0,137280.0,137375.0,13376,5,41003
WIN$N,M1,2025-06-06 10:40:00,1749206400,137380.0,137435.0,137350.0,137355.0,13228,5,39972
WIN$N,M1,2025-06-06 10:41:00,1749206460,137360.0,137455.0,137325.0,137425.0,15655,5,48384
WIN$N,M1,2025-06-06 10:42:00,1749206520,137420.0,137455.0,137230.0,137300.0,24338,5,72839
WIN$N,M1,2025-06-06 10:43:00,1749206580,137300.0,137360.0,137275.0,137290.0,9308,5,29074
WIN$N,M1,2025-06-06 10:44:00,1749206640,137295.0,137340.0,137255.0,137310.0,7368,5,21507
WIN$N,M1,2025-06-06 10:45:00,1749206700,137315.0,137335.0,137185.0,137250.0,14047,5,44606
WIN$N,M1,2025-06-06 10:46:00,1749206760,137255.0,137275.0,137170.0,137180.0,9832,5,29878
WIN$N,M1,2025-06-06 10:47:00,1749206820,137185.0,137195.0,137105.0,137150.0,14470,5,43873
WIN$N,M1,2025-06-06 10:48:00,1749206880,137150.0,137185.0,137105.0,137175.0,8927,5,26511
WIN$N,M1,2025-06-06 10:49:00,1749206940,137175.0,137330.0,137160.0,137310.0,17547,5,54356
WIN$N,M1,2025-06-06 10:50:00,1749207000,137310.0,137370.0,137235.0,137285.0,17972,5,54057
WIN$N,M1,2025-06-06 10:51:00,1749207060,137285.0,137290.0,137210.0,137235.0,8497,5,26306
WIN$N,M1,2025-06-06 10:52:00,1749207120,137240.0,137270.0,137160.0,137235.0,13938,5,42649
WIN$N,M1,2025-06-06 10:53:00,1749207180,137230.0,137305.0,137225.0,137260.0,8125,5,23060
WIN$N,M1,2025-06-06 10:54:00,1749207240,137265.0,137290.0,137185.0,137275.0,8755,5,24804
WIN$N,M1,2025-06-06 10:55:00,1749207300,137270.0,137350.0,137240.0,137315.0,11597,5,33445
WIN$N,M1,2025-06-06 10:56:00,1749207360,137315.0,137335.0,137280.0,137295.0,6482,5,18378
WIN$N,M1,2025-06-06 10:57:00,1749207420,137295.0,137300.0,137240.0,137265.0,6168,5,17621
WIN$N,M1,2025-06-06 10:58:00,1749207480,137265.0,137330.0,137235.0,137305.0,6959,5,20275
WIN$N,M1,2025-06-06 10:59:00,1749207540,137310.0,137320.0,137265.0,137300.0,4165,5,12406
WIN$N,M1,2025-06-06 11:00:00,1749207600,137300.0,137450.0,137290.0,137390.0,21359,5,60520
WIN$N,M1,2025-06-06 11:01:00,1749207660,137390.0,137390.0,137155.0,137170.0,24816,5,73223
WIN$N,M1,2025-06-06 11:02:00,1749207720,137170.0,137190.0,137105.0,137120.0,13662,5,42293
WIN$N,M1,2025-06-06 11:03:00,1749207780,137115.0,137230.0,137100.0,137185.0,13952,5,39400
WIN$N,M1,2025-06-06 11:04:00,1749207840,137185.0,137320.0,137185.0,137285.0,16060,5,45231
WIN$N,M1,2025-06-06 11:05:00,1749207900,137290.0,137320.0,137205.0,137210.0,10268,5,30504
WIN$N,M1,2025-06-06 11:06:00,1749207960,137205.0,137260.0,137195.0,137230.0,6246,5,17959
WIN$N,M1,2025-06-06 11:07:00,1749208020,137230.0,137365.0,137200.0,137350.0,14505,5,42030
WIN$N,M1,2025-06-06 11:08:00,1749208080,137345.0,137355.0,137240.0,137260.0,9071,5,26756
WIN$N,M1,2025-06-06 11:09:00,1749208140,137265.0,137365.0,137250.0,137320.0,8708,5,25485
WIN$N,M1,2025-06-06 11:10:00,1749208200,137320.0,137320.0,137160.0,137180.0,14919,5,42503
WIN$N,M1,2025-06-06 11:11:00,1749208260,137175.0,137215.0,137120.0,137150.0,11565,5,36599
WIN$N,M1,2025-06-06 11:12:00,1749208320,137150.0,137185.0,137075.0,137090.0,12675,5,37103
WIN$N,M1,2025-06-06 11:13:00,1749208380,137085.0,137095.0,136985.0,137030.0,20733,5,60087
WIN$N,M1,2025-06-06 11:14:00,1749208440,137030.0,137065.0,136950.0,137000.0,14257,5,46638
WIN$N,M1,2025-06-06 11:15:00,1749208500,136995.0,137085.0,136940.0,136960.0,21915,5,64024
WIN$N,M1,2025-06-06 11:16:00,1749208560,136960.0,136970.0,136820.0,136910.0,23075,5,69666
WIN$N,M1,2025-06-06 11:17:00,1749208620,136910.0,136920.0,136845.0,136885.0,9478,5,29236
WIN$N,M1,2025-06-06 11:18:00,1749208680,136880.0,136930.0,136840.0,136885.0,9346,5,26871
WIN$N,M1,2025-06-06 11:19:00,1749208740,136880.0,136885.0,136730.0,136770.0,21235,5,61490
WIN$N,M1,2025-06-06 11:20:00,1749208800,136765.0,136800.0,136700.0,136780.0,16900,5,51154
WIN$N,M1,2025-06-06 11:21:00,1749208860,136785.0,136840.0,136760.0,136820.0,10264,5,28063
WIN$N,M1,2025-06-06 11:22:00,1749208920,136815.0,136860.0,136760.0,136795.0,16696,5,46800
WIN$N,M1,2025-06-06 11:23:00,1749208980,136800.0,136835.0,136765.0,136810.0,8017,5,23008
WIN$N,M1,2025-06-06 11:24:00,1749209040,136815.0,136870.0,136785.0,136825.0,8532,5,24138
WIN$N,M1,2025-06-06 11:25:00,1749209100,136820.0,136820.0,136740.0,136760.0,10057,5,29141
WIN$N,M1,2025-06-06 11:26:00,1749209160,136765.0,136780.0,136665.0,136735.0,18145,5,53653
WIN$N,M1,2025-06-06 11:27:00,1749209220,136735.0,136780.0,136710.0,136740.0,10179,5,30214
WIN$N,M1,2025-06-06 11:28:00,1749209280,136740.0,136835.0,136690.0,136800.0,12962,5,36267
WIN$N,M1,2025-06-06 11:29:00,1749209340,136800.0,136810.0,136705.0,136795.0,11326,5,34860
WIN$N,M1,2025-06-06 11:30:00,1749209400,136800.0,136810.0,136635.0,136745.0,36612,5,108743
WIN$N,M1,2025-06-06 11:31:00,1749209460,136740.0,136745.0,136590.0,136620.0,23501,5,72244
WIN$N,M1,2025-06-06 11:32:00,1749209520,136615.0,136665.0,136585.0,136620.0,13018,5,39868
WIN$N,M1,2025-06-06 11:33:00,1749209580,136620.0,136635.0,136510.0,136600.0,23703,5,69637
WIN$N,M1,2025-06-06 11:34:00,1749209640,136600.0,136605.0,136515.0,136560.0,8613,5,24799
WIN$N,M1,2025-06-06 11:35:00,1749209700,136555.0,136630.0,136455.0,136620.0,32316,5,96687
WIN$N,M1,2025-06-06 11:36:00,1749209760,136625.0,136630.0,136565.0,136590.0,9741,5,28988
WIN$N,M1,2025-06-06 11:37:00,1749209820,136590.0,136590.0,136480.0,136520.0,11497,5,33217
WIN$N,M1,2025-06-06 11:38:00,1749209880,136520.0,136535.0,136425.0,136485.0,13801,5,39008
WIN$N,M1,2025-06-06 11:39:00,1749209940,136485.0,136565.0,136485.0,136555.0,7627,5,22255
WIN$N,M1,2025-06-06 11:40:00,1749210000,136555.0,136585.0,136510.0,136525.0,6852,5,18432
WIN$N,M1,2025-06-06 11:41:00,1749210060,136520.0,136535.0,136435.0,136455.0,9174,5,26318
WIN$N,M1,2025-06-06 11:42:00,1749210120,136455.0,136490.0,136410.0,136490.0,11865,5,33916
WIN$N,M1,2025-06-06 11:43:00,1749210180,136485.0,136490.0,136420.0,136420.0,6891,5,20024
WIN$N,M1,2025-06-06 11:44:00,1749210240,136420.0,136445.0,136375.0,136415.0,11801,5,33874
WIN$N,M1,2025-06-06 11:45:00,1749210300,136420.0,136505.0,136375.0,136455.0,14082,5,41310
WIN$N,M1,2025-06-06 11:46:00,1749210360,136460.0,136500.0,136410.0,136415.0,7685,5,23259
WIN$N,M1,2025-06-06 11:47:00,1749210420,136415.0,136425.0,136370.0,136400.0,8595,5,25504
WIN$N,M1,2025-06-06 11:48:00,1749210480,136400.0,136430.0,136350.0,136405.0,9077,5,25623
WIN$N,M1,2025-06-06 11:49:00,1749210540,136405.0,136545.0,136390.0,136535.0,14758,5,42086
WIN$N,M1,2025-06-06 11:50:00,1749210600,136535.0,136540.0,136485.0,136505.0,6667,5,20969
WIN$N,M1,2025-06-06 11:51:00,1749210660,136505.0,136565.0,136470.0,136555.0,8724,5,26129
WIN$N,M1,2025-06-06 11:52:00,1749210720,136555.0,136575.0,136485.0,136565.0,7914,5,23263
WIN$N,M1,2025-06-06 11:53:00,1749210780,136565.0,136580.0,136510.0,136525.0,6351,5,19302
WIN$N,M1,2025-06-06 11:54:00,1749210840,136525.0,136545.0,136495.0,136535.0,3807,5,10363
WIN$N,M1,2025-06-06 11:55:00,1749210900,136540.0,136540.0,136410.0,136425.0,12347,5,33721
WIN$N,M1,2025-06-06 11:56:00,1749210960,136425.0,136480.0,136400.0,136445.0,8204,5,23030
WIN$N,M1,2025-06-06 11:57:00,1749211020,136440.0,136450.0,136365.0,136400.0,9334,5,26805
WIN$N,M1,2025-06-06 11:58:00,1749211080,136405.0,136425.0,136360.0,136400.0,6509,5,17775
WIN$N,M1,2025-06-06 11:59:00,1749211140,136400.0,136405.0,136330.0,136390.0,9982,5,29810
WIN$N,M1,2025-06-06 12:00:00,1749211200,136395.0,136425.0,136375.0,136385.0,9594,5,25222
WIN$N,M1,2025-06-06 12:01:00,1749211260,136385.0,136390.0,136325.0,136350.0,9954,5,29566
WIN$N,M1,2025-06-06 12:02:00,1749211320,136350.0,136460.0,136335.0,136455.0,9493,5,27393
WIN$N,M1,2025-06-06 12:03:00,1749211380,136450.0,136520.0,136425.0,136480.0,13926,5,40831
WIN$N,M1,2025-06-06 12:04:00,1749211440,136480.0,136515.0,136470.0,136480.0,4382,5,14145
WIN$N,M1,2025-06-06 12:05:00,1749211500,136480.0,136500.0,136420.0,136460.0,8226,5,23528
WIN$N,M1,2025-06-06 12:06:00,1749211560,136460.0,136540.0,136430.0,136510.0,11311,5,32886
WIN$N,M1,2025-06-06 12:07:00,1749211620,136510.0,136515.0,136470.0,136505.0,4178,5,11635
WIN$N,M1,2025-06-06 12:08:00,1749211680,136505.0,136625.0,136500.0,136580.0,17850,5,52686
WIN$N,M1,2025-06-06 12:09:00,1749211740,136585.0,136625.0,136570.0,136595.0,5228,5,14318
WIN$N,M1,2025-06-06 12:10:00,1749211800,136590.0,136640.0,136575.0,136590.0,7517,5,21572
WIN$N,M1,2025-06-06 12:11:00,1749211860,136595.0,136680.0,136580.0,136655.0,10934,5,28458
WIN$N,M1,2025-06-06 12:12:00,1749211920,136660.0,136665.0,136600.0,136600.0,6266,5,17385
WIN$N,M1,2025-06-06 12:13:00,1749211980,136600.0,136685.0,136560.0,136660.0,11286,5,32228
WIN$N,M1,2025-06-06 12:14:00,1749212040,136660.0,136680.0,136650.0,136650.0,4612,5,13975
WIN$N,M1,2025-06-06 12:15:00,1749212100,136650.0,136660.0,136465.0,136540.0,26496,5,76389
WIN$N,M1,2025-06-06 12:16:00,1749212160,136540.0,136550.0,136460.0,136480.0,8725,5,27831
WIN$N,M1,2025-06-06 12:17:00,1749212220,136480.0,136590.0,136470.0,136545.0,8564,5,26657
WIN$N,M1,2025-06-06 12:18:00,1749212280,136545.0,136550.0,136480.0,136510.0,6001,5,17372
WIN$N,M1,2025-06-06 12:19:00,1749212340,136510.0,136535.0,136475.0,136500.0,6347,5,15436
