symbol,tf,datetime,time,open,high,low,close,tick_volume,spread,real_volume
WSP$,M5,2022-04-22 17:35:00,1650648900,4894.46,4896.96,4893.21,4896.96,20,1,56
WSP$,M5,2022-04-22 17:40:00,1650649200,4896.46,4897.46,4895.46,4896.96,6,1,14
WSP$,M5,2022-04-22 17:45:00,1650649500,4896.46,4898.71,4896.46,4897.71,8,1,11
WSP$,M5,2022-04-22 17:50:00,1650649800,4898.71,4909.21,4894.46,4897.21,50,1,112
WSP$,M5,2022-04-25 09:00:00,1650877200,4868.52,4868.52,4861.32,4863.82,68,1,164
WSP$,M5,2022-04-25 09:05:00,1650877500,4864.82,4868.32,4864.82,4865.07,26,1,55
WSP$,M5,2022-04-25 09:10:00,1650877800,4865.82,4869.57,4861.32,4863.57,56,1,148
WSP$,M5,2022-04-25 09:15:00,1650878100,4863.82,4868.82,4861.32,4868.82,18,1,53
WSP$,M5,2022-04-25 09:20:00,1650878400,4868.82,4871.32,4866.57,4871.07,15,1,79
WSP$,M5,2022-04-25 09:25:00,1650878700,4871.57,4873.82,4868.82,4868.82,19,1,171
WSP$,M5,2022-04-25 09:30:00,1650879000,4871.82,4874.57,4867.07,4867.07,20,1,80
WSP$,M5,2022-04-25 09:35:00,1650879300,4867.32,4868.57,4866.82,4866.82,14,1,135
WSP$,M5,2022-04-25 09:40:00,1650879600,4870.82,4877.07,4870.32,4876.32,26,1,111
WSP$,M5,2022-04-25 09:45:00,1650879900,4876.82,4880.07,4874.32,4880.07,14,1,21
WSP$,M5,2022-04-25 09:50:00,1650880200,4880.57,4880.57,4878.82,4880.32,8,1,61
WSP$,M5,2022-04-25 09:55:00,1650880500,4882.32,4887.07,4881.07,4887.07,18,1,55
WSP$,M5,2022-04-25 10:00:00,1650880800,4886.07,4886.07,4881.32,4881.32,15,1,94
WSP$,M5,2022-04-25 10:05:00,1650881100,4880.82,4881.82,4879.32,4880.32,17,1,103
WSP$,M5,2022-04-25 10:10:00,1650881400,4883.07,4885.57,4880.07,4885.57,12,1,16
WSP$,M5,2022-04-25 10:15:00,1650881700,4886.57,4888.07,4883.32,4883.32,7,1,10
WSP$,M5,2022-04-25 10:20:00,1650882000,4885.32,4886.07,4880.57,4880.82,10,1,26
WSP$,M5,2022-04-25 10:25:00,1650882300,4880.57,4880.82,4875.82,4877.07,14,1,49
WSP$,M5,2022-04-25 10:30:00,1650882600,4874.82,4874.82,4856.82,4858.32,65,1,329
